model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,193,186,7,0.9637305699481865,0.9270392712308702,0.9823220039416218
ML_minus_SDE,-827,-563,-264,0.2294168444579905,,
