window_id,start_idx,end_idx,rows,feature,importance_drop_f1,importance_std
w01,0,10236,10236,position,0.007136731368153748,0.002069153296452306
w01,0,10236,10236,tyreLife,0.023934772668438565,0.004439150828825161
w01,0,10236,10236,trackTemp,0.013871537827718838,0.007334596863907927
w01,0,10236,10236,airTemp,0.006119574241791681,0.004335771358098108
w01,0,10236,10236,humidity,0.020085188199194602,0.0011175194951570451
w01,0,10236,10236,speedTrap,0.0006292168442939116,0.0037870850312855084
w01,0,10236,10236,gapAhead,0.03780173055888146,0.003912200966797947
w01,0,10236,10236,gapBehind,0.0237554489721007,0.004366544269709508
w01,0,10236,10236,lapTime,0.02616780106693902,0.0032759737137466618
w01,0,10236,10236,pitLoss,0.004435947983271793,0.0026122848868821214
w01,0,10236,10236,positions_lost,0.013260876156233236,0.0030722360450682875
w01,0,10236,10236,gap_to_physical_car,0.036815433744399884,0.0051192117905342555
w01,0,10236,10236,has_drop_zone_data,0.002448246816542321,0.002282911092289338
w01,0,10236,10236,pace_drop_ratio,0.009661164470824513,0.0037053188531634986
w01,0,10236,10236,tire_life_ratio,0.028999105773641908,0.004939641914640715
w01,0,10236,10236,pace_trend,0.009023535334168631,0.0017502096715550904
w01,0,10236,10236,gapAhead_trend,0.008273464188103407,0.0007772003857499597
w01,0,10236,10236,trackTemp_expanding_z,0.018823071495365273,0.003096785297119619
w01,0,10236,10236,airTemp_expanding_z,0.041150456451617426,0.006798459422885759
w01,0,10236,10236,humidity_expanding_z,0.06321652343660371,0.007800689099602568
w01,0,10236,10236,speedTrap_expanding_z,0.010174565380069278,0.002043659869470152
w01,0,10236,10236,lapTime_expanding_z,0.04742228619894147,0.008399680707344828
w02,10236,20472,10236,position,0.029940401250162695,0.0034631333776565204
w02,10236,20472,10236,tyreLife,0.03217690934185828,0.006527720855026392
w02,10236,20472,10236,trackTemp,0.04243610468132034,0.004644514082910413
w02,10236,20472,10236,airTemp,0.020780522568779297,0.003359692702504924
w02,10236,20472,10236,humidity,0.036566569783958516,0.004781107734705907
w02,10236,20472,10236,speedTrap,0.034710349917617914,0.0028463823873570403
w02,10236,20472,10236,gapAhead,0.045248870129476974,0.003236145780542626
w02,10236,20472,10236,gapBehind,0.04329751084675308,0.007730185175145122
w02,10236,20472,10236,lapTime,0.04072501601900268,0.003037744957888286
w02,10236,20472,10236,pitLoss,0.015432955972973245,0.0025072861516416125
w02,10236,20472,10236,positions_lost,0.03181730280628669,0.005851298773982835
w02,10236,20472,10236,gap_to_physical_car,0.046294955912579344,0.00503789802462081
w02,10236,20472,10236,has_drop_zone_data,0.003271963748719231,0.0019675241734339573
w02,10236,20472,10236,pace_drop_ratio,0.0324355538472028,0.008946511834877428
w02,10236,20472,10236,tire_life_ratio,0.03552590916611417,0.007871511354422994
w02,10236,20472,10236,pace_trend,0.020010052569327023,0.007317949729369226
w02,10236,20472,10236,gapAhead_trend,0.014532166832168686,0.0016398120511451268
w02,10236,20472,10236,trackTemp_expanding_z,0.04825989702598753,0.0069477460312988674
w02,10236,20472,10236,airTemp_expanding_z,0.08074856326546656,0.005890747345596399
w02,10236,20472,10236,humidity_expanding_z,0.058976279660663836,0.005791000055155068
w02,10236,20472,10236,speedTrap_expanding_z,0.023551217578270056,0.004356258439432866
w02,10236,20472,10236,lapTime_expanding_z,0.047288920380053515,0.004334167377432778
w03,20472,30708,10236,position,0.004639032903349882,0.0015520346939600048
w03,20472,30708,10236,tyreLife,0.011941518060813594,0.001133849858011118
w03,20472,30708,10236,trackTemp,0.0013011876906512065,0.0008999282276036973
w03,20472,30708,10236,airTemp,0.002834635192236873,0.0013466324026092165
w03,20472,30708,10236,humidity,-0.0013268318803366153,0.001214891180245928
w03,20472,30708,10236,speedTrap,-0.0008218183183438977,0.0014569145547764953
w03,20472,30708,10236,gapAhead,0.012821996641204713,0.002134765958985741
w03,20472,30708,10236,gapBehind,0.013453425823534527,0.0022848093249537554
w03,20472,30708,10236,lapTime,0.005227815436882749,0.0009692872788686388
w03,20472,30708,10236,pitLoss,0.004437235750895452,0.000566731744080972
w03,20472,30708,10236,positions_lost,0.003091149602868798,0.0013741900528519073
w03,20472,30708,10236,gap_to_physical_car,0.023338041464362892,0.0019403259042395987
w03,20472,30708,10236,has_drop_zone_data,-0.0003628439583923837,0.0005644423846479397
w03,20472,30708,10236,pace_drop_ratio,0.00878980476086778,0.0022475470953032656
w03,20472,30708,10236,tire_life_ratio,0.01311114514006866,0.002625644912470928
w03,20472,30708,10236,pace_trend,0.004423766617689934,0.0011031350511997921
w03,20472,30708,10236,gapAhead_trend,0.004857020258825467,0.00037564474240781297
w03,20472,30708,10236,trackTemp_expanding_z,0.0001302262112532593,0.004043056512738718
w03,20472,30708,10236,airTemp_expanding_z,0.00582277009782336,0.0027382086004718066
w03,20472,30708,10236,humidity_expanding_z,0.019444311342706362,0.002674904823555962
w03,20472,30708,10236,speedTrap_expanding_z,0.006286412280235193,0.0010053862334550127
w03,20472,30708,10236,lapTime_expanding_z,0.021510107475955824,0.0007381669250306656
