phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.22941684445799038,0.0,gte,0.22941684445799038,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/significance_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,positive precision delta required
B,two_proportion_pvalue,PASS,3.5620395522073522e-12,0.05,lte,0.04999999999643796,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/significance_tests_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,z=6.953545
C,reference_threshold_precision_vs_sde_floor,PASS,0.868140243902439,0.734313725490196,gte,0.13382651841224302,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/threshold_frontier_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9673893073672608,0.9,gte,0.06738930736726079,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/threshold_frontier_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.7763578274760383,0.6,gte,0.17635782747603834,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.8710073710073711,0.9,gte,-0.028992628992628888,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0135135135135135,0.1,lte,0.0864864864864865,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,FAIL,0.0,1.0,gte,-1.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/feature_parity_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,FAIL,0.8150864197530865,0.95,gte,-0.13491358024691347,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/feature_parity_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,sampled parity gate
G,latency_p95_total_ms,PASS,4.513256050131528,500.0,lte,495.48674394986847,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_latency_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_latency_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_availability_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,observed replay failures
