protocol,score_type,bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
ml_pretrain,raw_proba,0.0,10302.0,0.007407202236620624,0.016986992816928753,0.0,0.015813652798533362
ml_pretrain,raw_proba,1.0,10301.0,0.02920462701799836,0.025434423842345403,0.015813652798533362,0.045528452843427714
ml_pretrain,raw_proba,2.0,10302.0,0.06794987753224563,0.0320326150262085,0.045528452843427714,0.09302526265382764
ml_pretrain,raw_proba,3.0,10301.0,0.12372851813331917,0.033880205805261625,0.09302526265382764,0.156595253944397
ml_pretrain,raw_proba,4.0,10301.0,0.19472450594678226,0.037569168041937676,0.156595253944397,0.2347824573516845
ml_pretrain,raw_proba,5.0,10302.0,0.2798247209042629,0.04008930304795185,0.2347824573516845,0.3262035131454468
ml_pretrain,raw_proba,6.0,10301.0,0.3778595885667115,0.04960683428793321,0.3262035131454468,0.43226646780967715
ml_pretrain,raw_proba,7.0,10302.0,0.49229394244559876,0.06581246359930111,0.43226646780967715,0.5544517755508426
ml_pretrain,raw_proba,8.0,10301.0,0.6252050645871482,0.11610523250169887,0.5544517755508426,0.7002091050148012
ml_pretrain,raw_proba,9.0,10302.0,0.7966825368623783,0.3323626480295088,0.7002091050148012,1.0
ml_pretrain,calibrated_proba,0.0,9987.0,0.005974392353810883,0.017322519275057575,0.0,0.0105067985166872
ml_pretrain,calibrated_proba,1.0,10517.0,0.012808857770833003,0.01825615669867833,0.0105067985166872,0.0154738878143133
ml_pretrain,calibrated_proba,2.0,10366.0,0.017263700005059848,0.026336098784487748,0.0154738878143133,0.01974386339381
ml_pretrain,calibrated_proba,3.0,10133.0,0.02208148715475127,0.032764235665646894,0.01974386339381,0.0248815165876777
ml_pretrain,calibrated_proba,4.0,10457.0,0.027259168258019748,0.034139810653151,0.0248815165876777,0.0304568527918781
ml_pretrain,calibrated_proba,5.0,10280.0,0.03368290522144443,0.0382295719844358,0.0304568527918781,0.0374404356705241
ml_pretrain,calibrated_proba,6.0,10025.0,0.043149355005254096,0.05695760598503741,0.0374404356705241,0.0492753623188405
ml_pretrain,calibrated_proba,7.0,10644.0,0.05795579160706352,0.07872980082675686,0.0492753623188405,0.0703066566940912
ml_pretrain,calibrated_proba,8.0,10300.0,0.0925223121375401,0.1212621359223301,0.0703066566940912,0.1330645161290322
ml_pretrain,calibrated_proba,9.0,10306.0,0.268549629521451,0.3247622744032602,0.1330645161290322,1.0
ml_racewise,raw_proba,0.0,12313.0,0.001067539345009156,0.012913181190611548,0.0,0.00317248199135064
ml_racewise,raw_proba,1.0,12313.0,0.008464965968397506,0.01843579956143913,0.00317248199135064,0.015768972039222683
ml_racewise,raw_proba,2.0,12313.0,0.028712133106764265,0.027613091854137902,0.015768972039222683,0.04512095525860788
ml_racewise,raw_proba,3.0,12313.0,0.06888659816505477,0.03313571022496548,0.04512095525860788,0.09627756327390666
ml_racewise,raw_proba,4.0,12312.0,0.13108446688377345,0.036062378167641324,0.09627756327390666,0.1693126410245895
ml_racewise,raw_proba,5.0,12313.0,0.2138886621390874,0.03971412328433363,0.1693126410245895,0.2621157109737396
ml_racewise,raw_proba,6.0,12313.0,0.31608060373615543,0.04442459189474539,0.2621157109737396,0.3732946693897248
ml_racewise,raw_proba,7.0,12313.0,0.43861353054157387,0.05733777308535694,0.3732946693897248,0.5078578948974611
ml_racewise,raw_proba,8.0,12313.0,0.5859441366308372,0.09721432632177374,0.5078578948974611,0.6709490299224853
ml_racewise,raw_proba,9.0,12313.0,0.7788393374898244,0.30325672053926744,0.6709490299224853,1.0
ml_racewise,calibrated_proba,0.0,12306.0,0.0033399162789670028,0.012676743052169674,0.0,0.0082815734989648
ml_racewise,calibrated_proba,1.0,12262.0,0.011292995586004507,0.016310552927744252,0.0082815734989648,0.0138050043140638
ml_racewise,calibrated_proba,2.0,12213.0,0.0162494527611633,0.022762629984442808,0.0138050043140638,0.0187032418952618
ml_racewise,calibrated_proba,3.0,12449.0,0.020936884439920565,0.029480279540525345,0.0187032418952618,0.0228102189781021
ml_racewise,calibrated_proba,4.0,12162.0,0.02571437352320535,0.03140930767965795,0.0228102189781021,0.0286137148495313
ml_racewise,calibrated_proba,5.0,12437.0,0.03234084182907002,0.03996140548363753,0.0286137148495313,0.0359397765905779
ml_racewise,calibrated_proba,6.0,12245.0,0.040964140994306494,0.046631278072682726,0.0359397765905779,0.0479750778816199
ml_racewise,calibrated_proba,7.0,12354.0,0.05484265863097444,0.06880362635583617,0.0479750778816199,0.064516129032258
ml_racewise,calibrated_proba,8.0,12388.0,0.08401911234179132,0.10776557959315466,0.064516129032258,0.116761837384405
ml_racewise,calibrated_proba,9.0,12313.0,0.24784790346536656,0.29359213839031917,0.116761837384405,1.0
