year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,2410,86,2324,59,27,0.686046511627907,0.04088522130532635,-69,1012,0.5548387096774193,1.7238912732474965
2023,1572,226,1346,163,63,0.7212389380530974,79,37,42,35,2,0.9459459459459459,0.2247070078928486,-189,-1493,0.16371681415929204,0.05025445292620865
2024,1647,299,1348,227,72,0.7591973244147158,116,75,41,73,2,0.9733333333333334,0.21413600891861762,-224,-1531,0.2508361204013378,0.07043108682452945
2025,1706,340,1366,259,81,0.7617647058823529,118,81,37,78,3,0.9629629629629629,0.20119825708061,-259,-1588,0.23823529411764705,0.06916764361078546
