model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
SDE,2024 :: Singapore Grand Prix,2024,52,3,1,2,0.3333333333333333,0.057692307692307696,68
SDE,2024 :: Spanish Grand Prix,2024,92,16,10,6,0.625,0.17391304347826086,69
SDE,2024 :: São Paulo Grand Prix,2024,112,18,12,6,0.6666666666666666,0.16071428571428573,70
SDE,2024 :: United States Grand Prix,2024,70,11,8,3,0.7272727272727273,0.15714285714285714,71
SDE,2025 :: Abu Dhabi Grand Prix,2025,60,20,15,5,0.75,0.3333333333333333,72
SDE,2025 :: Australian Grand Prix,2025,103,10,9,1,0.9,0.0970873786407767,73
SDE,2025 :: Austrian Grand Prix,2025,60,17,13,4,0.7647058823529411,0.2833333333333333,74
SDE,2025 :: Azerbaijan Grand Prix,2025,117,15,12,3,0.8,0.1282051282051282,75
SDE,2025 :: Bahrain Grand Prix,2025,62,31,26,5,0.8387096774193549,0.5,76
SDE,2025 :: Belgian Grand Prix,2025,64,24,16,8,0.6666666666666666,0.375,77
SDE,2025 :: British Grand Prix,2025,2,0,0,0,,0.0,78
SDE,2025 :: Canadian Grand Prix,2025,65,10,9,1,0.9,0.15384615384615385,79
SDE,2025 :: Chinese Grand Prix,2025,73,7,5,2,0.7142857142857143,0.0958904109589041,80
SDE,2025 :: Dutch Grand Prix,2025,36,17,15,2,0.8823529411764706,0.4722222222222222,81
SDE,2025 :: Emilia Romagna Grand Prix,2025,147,20,15,5,0.75,0.1360544217687075,82
SDE,2025 :: French Grand Prix,2025,38,3,2,1,0.6666666666666666,0.07894736842105263,83
SDE,2025 :: Hungarian Grand Prix,2025,128,27,21,6,0.7777777777777778,0.2109375,84
SDE,2025 :: Italian Grand Prix,2025,48,14,12,2,0.8571428571428571,0.2916666666666667,85
SDE,2025 :: Japanese Grand Prix,2025,46,5,5,0,1.0,0.10869565217391304,86
SDE,2025 :: Las Vegas Grand Prix,2025,96,23,18,5,0.782608695652174,0.23958333333333334,87
SDE,2025 :: Mexico City Grand Prix,2025,61,10,7,3,0.7,0.16393442622950818,88
SDE,2025 :: Miami Grand Prix,2025,38,8,6,2,0.75,0.21052631578947367,89
SDE,2025 :: Monaco Grand Prix,2025,77,10,6,4,0.6,0.12987012987012986,90
SDE,2025 :: Qatar Grand Prix,2025,40,9,6,3,0.6666666666666666,0.225,91
SDE,2025 :: Saudi Arabian Grand Prix,2025,18,4,4,0,1.0,0.2222222222222222,92
SDE,2025 :: Singapore Grand Prix,2025,52,5,2,3,0.4,0.09615384615384616,93
SDE,2025 :: Spanish Grand Prix,2025,92,18,12,6,0.6666666666666666,0.1956521739130435,94
SDE,2025 :: São Paulo Grand Prix,2025,113,21,14,7,0.6666666666666666,0.18584070796460178,95
SDE,2025 :: United States Grand Prix,2025,70,12,9,3,0.75,0.17142857142857143,96
Batch ML,2023 :: Abu Dhabi Grand Prix,2023,10,5,5,0,1.0,0.5,1
Batch ML,2023 :: Australian Grand Prix,2023,16,5,5,0,1.0,0.3125,2
Batch ML,2023 :: British Grand Prix,2023,7,3,3,0,1.0,0.42857142857142855,3
Batch ML,2023 :: Emilia Romagna Grand Prix,2023,22,12,11,1,0.9166666666666666,0.5454545454545454,4
Batch ML,2023 :: French Grand Prix,2023,10,6,6,0,1.0,0.6,5
Batch ML,2023 :: Miami Grand Prix,2023,1,1,1,0,1.0,1.0,6
Batch ML,2023 :: Saudi Arabian Grand Prix,2023,13,5,4,1,0.8,0.38461538461538464,7
Batch ML,2024 :: Abu Dhabi Grand Prix,2024,4,4,4,0,1.0,1.0,8
Batch ML,2024 :: Austrian Grand Prix,2024,15,11,11,0,1.0,0.7333333333333333,9
Batch ML,2024 :: Bahrain Grand Prix,2024,13,7,7,0,1.0,0.5384615384615384,10
Batch ML,2024 :: Belgian Grand Prix,2024,17,14,13,1,0.9285714285714286,0.8235294117647058,11
Batch ML,2024 :: British Grand Prix,2024,7,2,2,0,1.0,0.2857142857142857,12
Batch ML,2024 :: Canadian Grand Prix,2024,1,1,1,0,1.0,1.0,13
Batch ML,2024 :: Dutch Grand Prix,2024,10,7,7,0,1.0,0.7,14
Batch ML,2024 :: French Grand Prix,2024,4,4,4,0,1.0,1.0,15
Batch ML,2024 :: Hungarian Grand Prix,2024,1,1,1,0,1.0,1.0,16
Batch ML,2024 :: Italian Grand Prix,2024,1,1,1,0,1.0,1.0,17
Batch ML,2024 :: Mexico City Grand Prix,2024,7,4,3,1,0.75,0.5714285714285714,18
Batch ML,2024 :: Miami Grand Prix,2024,2,2,2,0,1.0,1.0,19
Batch ML,2024 :: Singapore Grand Prix,2024,4,3,3,0,1.0,0.75,20
Batch ML,2024 :: Spanish Grand Prix,2024,10,6,6,0,1.0,0.6,21
Batch ML,2024 :: United States Grand Prix,2024,20,8,8,0,1.0,0.4,22
Batch ML,2025 :: Abu Dhabi Grand Prix,2025,9,7,7,0,1.0,0.7777777777777778,23
Batch ML,2025 :: Austrian Grand Prix,2025,10,8,8,0,1.0,0.8,24
Batch ML,2025 :: Azerbaijan Grand Prix,2025,1,1,1,0,1.0,1.0,25
Batch ML,2025 :: Bahrain Grand Prix,2025,4,4,4,0,1.0,1.0,26
Batch ML,2025 :: Belgian Grand Prix,2025,30,21,19,2,0.9047619047619048,0.7,27
Batch ML,2025 :: British Grand Prix,2025,1,0,0,0,,0.0,28
Batch ML,2025 :: Canadian Grand Prix,2025,1,1,1,0,1.0,1.0,29
