paradigm,comparison_mode,actionable,scored,excluded,tp,fp,precision,eval_instances,accuracy_pct,kappa_pct,source_artifact,notes
SDE,full_h2_actionable_one_to_one,6323,1020,5303,749,271,0.734313725490196,,,,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/heuristic_comparator_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,direct comparator metrics under fixed H=2 contract
ML_BATCH,full_h2_actionable_one_to_one,313,193,120,186,7,0.9637305699481865,,,,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/ml_comparator_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,direct comparator metrics under fixed H=2 contract
MOA_ARF_DECISION,full_h2_actionable_one_to_one,7249,1521,5728,1314,207,0.863905325443787,,,,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/moa_comparator_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,direct comparator metrics under fixed H=2 contract from decoded MOA decisions
MOA_ARF,prequential_stream_baseline,,,,,,,124136.0,88.72285235548108,13.987478522457156,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/moa_arf_summary_2022_2025_no_source_year_drop_medium_track_agnostic_v1.csv,"prequential stream metrics, not yet mapped to comparator semantics; use as baseline until MOA decision mapping is added"
