rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.7360280050474214,0.23965294876304374,0.14437067382398644,0.7048275862068966,0.7214063094334219,1
2,extra_300_d12,ExtraTreesClassifier,1,0.6917409533113527,0.2211251671294868,0.12994077118336758,0.7413793103448276,0.7150033636986066,0
3,rf_100_d10,RandomForestClassifier,1,0.6830707860137583,0.21952686447473937,0.12843068261787474,0.7551724137931034,0.7168603341622004,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.5672243253144462,0.14533762057877814,0.08225659690627843,0.623448275862069,0.5935729937514265,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.9422802947042781,0.08634020618556701,0.6568627450980392,0.046206896551724136,0.5223464296315743,0
