model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,279,245,34,0.8781362007168458,0.8345324304910003,0.9114685301876898
ML_minus_SDE,-741,-504,-237,0.14382247522664982,,
