threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.049613240723266366,0.049517440041313525,0.0
0.02,0.0403602642668986,0.039818638409082036,0.0
0.03,0.03135754568088362,0.02991986148546432,0.0
0.04,0.02263537808170852,0.01981486004260457,0.0
0.05,0.014041086352466828,0.009497121727263566,0.0
0.060000000000000005,0.005725549495994013,-0.0010401429352123528,0.0
0.06999999999999999,-0.0024291699985687504,-0.01180401543989204,0.0
0.08,-0.010317835342922022,-0.022801885172934355,0.0
0.09,-0.0180390293957274,-0.03404146632868088,0.0
0.09999999999999999,-0.025689384585464686,-0.04553081595455512,0.0
0.11,-0.033198366494196344,-0.05727835321247146,0.0
0.12,-0.0405551423380218,-0.06929287995352228,0.0
0.13,-0.04798746472817242,-0.08158360271160876,0.0
0.14,-0.0550738795945781,-0.09416015623151118,0.0
0.15000000000000002,-0.06182133373559465,-0.10703262865776429,0.0
0.16,-0.06851816315731327,-0.12021158852273765,0.0
0.17,-0.07509387899626349,-0.1337081136856622,0.0
0.18000000000000002,-0.0814894459849471,-0.14753382238914586,0.0
0.19,-0.08784543352595345,-0.1617009066161723,0.0
0.2,-0.09403875117026905,-0.17622216794887452,0.0
0.21000000000000002,-0.10000087593061187,-0.19111105615075902,0.0
0.22,-0.10576727379755835,-0.20638171071679434,0.0
0.23,-0.11158300729676968,-0.2220490056611683,0.0
0.24000000000000002,-0.1174318137510096,-0.23812859784092055,0.0
0.25,-0.12351257106416466,-0.2546369791454661,0.0
0.26,-0.12943973403125927,-0.27159153291770216,0.0
0.27,-0.13505699537914487,-0.28901059501246523,0.0
0.28,-0.1405611864153811,-0.30691351994319394,0.0
0.29000000000000004,-0.14602320644262862,-0.32532075261845017,0.0
0.3,-0.15113770505149185,-0.3442539062272852,0.0
0.31,-0.1556854576334579,-0.36373584689724586,0.0
0.32,-0.1597504064515048,-0.3837907858222053,0.0
0.33,-0.1646572364699886,-0.4044443796404472,0.0
0.34,-0.16948209657942231,-0.42572383993802976,0.0
0.35000000000000003,-0.1739450357108191,-0.44765805286015325,0.0
0.36000000000000004,-0.1779673952863598,-0.4702777099360932,0.0
0.37,-0.18280426510979694,-0.49361545136365015,0.0
0.38,-0.1861742148200379,-0.517706023159838,0.0
0.39,-0.19054149008365884,-0.5425864497690158,0.0
0.4,-0.19370157799758486,-0.5682962239318328,0.0
0.41000000000000003,-0.19731305533880714,-0.5948775158628807,0.0
0.42000000000000004,-0.19973527706777952,-0.6223754040674132,0.0
0.43,-0.20130484553876649,-0.6508381304545606,0.0
0.44,-0.20366461397112273,-0.6803173827841064,0.0
0.45,-0.20558250720663712,-0.7108686079256356,0.0
0.46,-0.20692166094535128,-0.7425513599242585,0.0
0.47000000000000003,-0.20690740992480328,-0.7754296874699993,0.0
0.48000000000000004,-0.20634309314245816,-0.8095725660751916,0.0
0.49,-0.2065938924924795,-0.8450543810962736,0.0
0.5,-0.20494972931167826,-0.8819554687181992,0.0
