model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,far_miss_6_plus,2022 :: Italian Grand Prix,MSC,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,15.0,,,
MOA,excluded_no_match,no_future,2022 :: Saudi Arabian Grand Prix,MAG,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2023 :: Abu Dhabi Grand Prix,VET,20,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,no_future,2023 :: Canadian Grand Prix,BOT,63,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2023 :: Canadian Grand Prix,STR,43,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Monaco Grand Prix,PIA,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,37.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Spanish Grand Prix,LEC,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Spanish Grand Prix,NOR,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Azerbaijan Grand Prix,ZHO,4,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2024 :: Hungarian Grand Prix,LEC,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,no_future,2024 :: Japanese Grand Prix,GAS,47,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,PIA,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,26.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Canadian Grand Prix,HUL,4,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Canadian Grand Prix,MAG,3,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,scored_fp,fp_scored,2025 :: Japanese Grand Prix,HUL,19,0,nan,2.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Mexico City Grand Prix,ZHO,2,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Qatar Grand Prix,ALB,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Qatar Grand Prix,SAI,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,22.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,OCO,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2022 :: Canadian Grand Prix,MAG,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Dutch Grand Prix,RUS,11,EXCLUDED,NO_MATCH_WITHIN_HORIZON,20.0,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Hungarian Grand Prix,ZHO,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,15.0,,,
SDE,excluded_no_match,no_future,2023 :: Belgian Grand Prix,ALB,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Canadian Grand Prix,LEC,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,VET,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,no_future,2024 :: Spanish Grand Prix,MSC,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: São Paulo Grand Prix,HAM,21,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Emilia Romagna Grand Prix,LEC,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,no_future,2025 :: Japanese Grand Prix,NOR,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2025 :: Japanese Grand Prix,RUS,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
