fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,682,20,0.02932551319648094,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0
2,856,18,0.02102803738317757,0.11000000000000003,0.11,0.11,0.07242990654205607,0.03225806451612903,0.1111111111111111,0.049999999999999996,0,0.0542264752791068
3,1057,22,0.020813623462630087,0.19999999999999998,0.2,0.2,0.010406811731315043,0.36363636363636365,0.18181818181818182,0.24242424242424246,0,0.0685358255451713
4,930,25,0.026881720430107527,0.02,0.02,0.02,1.0,0.026881720430107527,1.0,0.05235602094240838,930,0.021262452840372602
5,1212,44,0.036303630363036306,0.02,0.02,0.02,1.0,0.036303630363036306,1.0,0.07006369426751592,1212,0.021386877256748205
6,1066,18,0.016885553470919325,0.44000000000000006,0.44,0.44,0.0,,0.0,,0,0.0398230088495575
7,812,29,0.03571428571428571,0.14000000000000004,0.14,0.14,0.0049261083743842365,0.25,0.034482758620689655,0.0606060606060606,0,0.0571428571428571
8,1092,19,0.0173992673992674,0.07999999999999999,0.08,0.08,0.022893772893772892,0.0,0.0,,1092,0.0379310344827586
9,749,15,0.020026702269692925,0.27,0.27,0.27,0.049399198931909215,0.16216216216216217,0.4,0.23076923076923078,0,0.1184210526315789
10,1267,46,0.036306235201262825,0.25,0.25,0.25,0.0,,0.0,,0,0.0616438356164383
11,877,18,0.020524515393386546,0.99,0.99,0.99,0.005701254275940707,0.2,0.05555555555555555,0.08695652173913045,0,0.0603864734299516
12,1288,34,0.026397515527950312,0.9899999999999999,0.99,0.99,0.0007763975155279503,0.0,0.0,,0,0.0518806744487678
13,719,26,0.03616133518776078,0.33000000000000007,0.33,0.33,0.009735744089012517,0.14285714285714285,0.038461538461538464,0.060606060606060615,0,0.0452961672473867
14,1268,49,0.038643533123028394,0.22000000000000003,0.22,0.22,0.016561514195583597,0.2857142857142857,0.12244897959183673,0.1714285714285714,0,0.0967741935483871
15,835,30,0.03592814371257485,0.5,0.5,0.5,0.0,,0.0,,0,0.08482269503546183
16,701,11,0.015691868758915834,0.99,0.99,0.99,0.0,,0.0,,0,0.0297951582867784
17,415,2,0.004819277108433735,0.32999999999999996,0.33,0.33,0.0,,0.0,,0,0.0714285714285714
18,841,34,0.04042806183115339,0.32999999999999996,0.33,0.33,0.0,,0.0,,0,0.060790273556231
19,1331,16,0.012021036814425245,0.23,0.23,0.23,0.010518407212622089,0.0,0.0,,0,0.1423728813559322
20,1030,22,0.021359223300970873,0.32999999999999996,0.33,0.33,0.001941747572815534,0.0,0.0,,0,0.0619658119658119
21,1086,28,0.02578268876611418,0.08,0.08,0.08,0.072744014732965,0.08860759493670886,0.25,0.1308411214953271,1086,0.0649350649350649
22,1214,129,0.10626029654036244,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.04296875
23,957,60,0.06269592476489028,0.08,0.08,0.08,0.013584117032392894,0.46153846153846156,0.1,0.16438356164383564,957,0.0536332179930795
24,1206,27,0.022388059701492536,0.13,0.13,0.13,0.013266998341625208,0.5,0.2962962962962963,0.37209302325581395,0,0.0324483775811209
25,1110,57,0.051351351351351354,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0355239786856127
26,1316,61,0.04635258358662614,0.2800000000000001,0.28,0.28,0.0007598784194528875,1.0,0.01639344262295082,0.03225806451612903,0,0.0673076923076923
27,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0355731225296442
28,1554,105,0.06756756756756757,0.5,0.5,0.5,0.0,,0.0,,0,0.0555555555555555
29,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0826086956521739
30,1583,111,0.07012002526847758,0.5999999999999999,0.6,0.6,0.0,,0.0,,0,0.0901287553648068
31,1146,60,0.05235602094240838,0.39999999999999997,0.4,0.4,0.006108202443280977,0.42857142857142855,0.05,0.08955223880597016,0,0.0811965811965812
32,1553,101,0.06503541532517708,0.66,0.66,0.66,0.0,,0.0,,0,0.0791896869244935
33,938,83,0.08848614072494669,0.99,0.99,0.99,0.0,,0.0,,0,0.1428571428571428
34,1596,110,0.06892230576441102,0.42,0.42,0.42,0.0,,0.0,,0,0.0497076023391812
35,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0485436893203883
36,1231,44,0.03574329813160033,0.99,0.99,0.99,0.0,,0.0,,0,0.062135922330097
37,934,38,0.04068522483940043,0.75,0.75,0.75,0.0,,0.0,,0,0.0352771778257739
38,944,26,0.02754237288135593,0.5,0.5,0.5,0.0,,0.0,,0,0.0343601895734597
39,1197,94,0.0785296574770259,0.8699999999999999,0.87,0.87,0.0,,0.0,,0,0.0794297352342158
40,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.0381136950904392
41,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0398648648648648
42,1297,95,0.07324595219737856,0.99,0.99,0.99,0.007710100231303007,0.5,0.05263157894736842,0.09523809523809525,0,0.1760797342192691
43,877,18,0.020524515393386546,0.75,0.75,0.75,0.011402508551881414,1.0,0.5555555555555556,0.7142857142857143,0,0.0511538461538461
44,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.020813623462630087,0.8636363636363636,0.8636363636363636,0.8636363636363636,0,0.0350318471337579
45,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.052219321148825
46,1274,195,0.15306122448979592,0.99,0.99,0.99,0.01020408163265306,0.6153846153846154,0.041025641025641026,0.07692307692307693,0,0.2058823529411764
47,1071,95,0.08870214752567694,0.75,0.75,0.75,0.0,,0.0,,0,0.1072
48,1274,85,0.06671899529042387,0.75,0.75,0.75,0.0,,0.0,,0,0.0529801324503311
49,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.0979020979020979
