protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.42727355484276475,0.4272341741229658,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.41782571605086505,0.4187498182384317,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.24412152438176443,0.24399894083309956,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.2201107954339142,0.22214434953829754,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.4452073509958405,0.44510903019244297,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.42335514717370065,0.4252366250320505,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.5015440966292046,0.5014473946382648,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.490854215516257,0.4926127446611519,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.4055321526704756,0.4054950061308723,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.39283982709286047,0.39376809720718003,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.0612558449612912,0.06065359729429355,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.06724604861357698,0.06820658876882167,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.24412152438176443,0.24399894083309956,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.2201107954339142,0.22214434953829754,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.4452073509958405,0.44510903019244297,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.42335514717370065,0.4252366250320505,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.5015440966292046,0.5014473946382648,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.490854215516257,0.4926127446611519,0.08808848980410845,39869,3512
