year,total_events,ok_events,failed_events,availability_pct,p50_total_ms,p95_total_ms,p99_total_ms
2022,525,525,0,100.0,3.1116690001908864,5.882169999858885,9.774928480137488
2023,693,693,0,100.0,3.2172189999073453,19.091022000066005,24.232362120128577
2024,808,808,0,100.0,3.161628500038205,16.01642900011484,21.955983700086076
2025,974,974,0,100.0,3.1077589997039468,6.4948304999461435,15.347028170062908
