model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,383,348,35,0.9086161879895561,0.8755583770938901,0.9335586212604136
ML_minus_SDE,-637,-401,-236,0.1743024624993601,,
