model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,495,311,300,11,0.9646302250803859,0.03536977491961415,173
MOA,7119,1687,1482,205,0.8784825133372851,0.12151748666271488,5221
