feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
gapAhead,147.78091666666668,7.791545454545456,-139.98937121212123,-0.6192195558686222,300,11
position,7.52,5.0,-2.5199999999999996,-0.5858264971659916,300,11
humidity,55.25666666666667,49.09090909090909,-6.165757575757574,-0.47678846943647557,300,11
pace_drop_ratio,1.0124379514917932,1.0091877155153492,-0.003250235976443916,-0.3304391481414162,300,11
speedTrap,294.77,299.1818181818182,4.411818181818205,0.3103919385319348,300,11
trackTemp,31.296666666666667,33.21818181818182,1.9215151515151518,0.2531866759655436,300,11
airTemp,21.787000000000003,22.79090909090909,1.0039090909090866,0.23311378034355548,300,11
pitLoss,22.246666666666666,22.454545454545453,0.2078787878787871,0.19305606491371813,300,11
tire_life_ratio,0.6623518518518519,0.6085858585858586,-0.053765993265993295,-0.17920970540972977,300,11
gapBehind,57.95282333333333,43.49645454545455,-14.45636878787878,-0.11098622494466168,300,11
lapTime,90.77271,91.86690909090909,1.0941990909090862,0.06899606470374087,300,11
