threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.048284525655958865,0.04828206569490005,0.0
0.02,0.03861124755946134,0.03857065820199087,0.0
0.03,0.028872423465000466,0.02865901550304232,0.0
0.04,0.01909898391308465,0.018540880247865675,0.0
0.05,0.009318461962431343,0.008209731618895842,0.0
0.060000000000000005,-0.0005026171499534979,-0.0023412286830308063,0.0
0.06999999999999999,-0.010371235500761362,-0.01311909135704186,0.0
0.08,-0.02015879262544317,-0.024131255393531455,0.0
0.09,-0.029682417270191754,-0.0353854450132406,0.0
0.09999999999999999,-0.039272458316984844,-0.04688972773560993,0.0
0.11,-0.04862194570785787,-0.05865253366522353,0.0
0.12,-0.057950532643068244,-0.07068267609323742,0.0
0.13,-0.06700416484131196,-0.08298937351959648,0.0
0.14,-0.075650066878046,-0.09558227321168483,0.0
0.15000000000000002,-0.084289769810591,-0.10847147642593996,0.0
0.16,-0.0924625563177335,-0.12166756543101065,0.0
0.17,-0.10072615827599884,-0.13518163248439632,0.0
0.18000000000000002,-0.10875670838130634,-0.149025310929328,0.0
0.19,-0.11676355496625822,-0.16321080859512213,0.0
0.2,-0.124203433859642,-0.17775094370256117,0.0
0.21000000000000002,-0.13065868306545217,-0.1926591834962645,0.0
0.22,-0.13736999697140947,-0.20794968584878068,0.0
0.23,-0.14429727434557565,-0.22363734410655703,0.0
0.24000000000000002,-0.15099454607212515,-0.2397378354763802,0.0
0.25,-0.1577843622735452,-0.2562676732827319,0.0
0.26,-0.16346870066884683,-0.27324426346222835,0.0
0.27,-0.1687994613291847,-0.29068596570143695,0.0
0.28,-0.17393892654679277,-0.3086121596695125,0.0
0.29000000000000004,-0.17951300774570714,-0.32704331684795634,0.0
0.3,-0.18320876266242994,-0.34600107851721285,0.0
0.31,-0.1876922479621496,-0.36550834052470865,0.0
0.32,-0.19104933039498223,-0.38558934553242497,0.0
0.33,-0.1947586417468206,-0.4062697835254463,0.0
0.34,-0.19813879346289953,-0.42757690145765004,0.0
0.35000000000000003,-0.20080179592295522,-0.44953962301853695,0.0
0.36000000000000004,-0.20311929212160576,-0.4721886796282016,0.0
0.37,-0.20554128485288936,-0.4955567539080142,0.0
0.38,-0.20719295787741232,-0.5196786370355628,0.0
0.39,-0.20904517196246883,-0.5445914015771294,0.0
0.4,-0.21015816319627662,-0.5703345916034149,0.0
0.41000000000000003,-0.21039459047058204,-0.596950432139066,0.0
0.42000000000000004,-0.21115983389155368,-0.6244840602793947,0.0
0.43,-0.21060820659840532,-0.6529837806351735,0.0
0.44,-0.2095483564209464,-0.6825013481465159,0.0
0.45,-0.2080462866272827,-0.7130922817491798,0.0
0.46,-0.20690500136049514,-0.7448162128926832,0.0
0.47000000000000003,-0.20495481179174443,-0.7777372735132999,0.0
0.48000000000000004,-0.20073310624108207,-0.811924528773171,0.0
0.49,-0.19620417879373203,-0.8474524607098998,0.0
0.5,-0.1904046758939806,-0.8844015099240978,0.0
