window_id,start_idx,end_idx,rows,feature,importance_drop_f1,importance_std
w01,0,10295,10295,position,0.026906519924938845,0.004286199053170508
w01,0,10295,10295,tyreLife,0.006707598888595456,0.0034568761799209226
w01,0,10295,10295,trackTemp,0.026629766061726144,0.0028647155140742
w01,0,10295,10295,airTemp,0.021495260320012765,0.0025589750814591335
w01,0,10295,10295,humidity,0.03872353674216592,0.007784630107893569
w01,0,10295,10295,speedTrap,0.00346488943317762,0.0037505350018952137
w01,0,10295,10295,gapAhead,0.02461534584937487,0.0033189424530884757
w01,0,10295,10295,gapBehind,0.03298983003534443,0.0020751279913187714
w01,0,10295,10295,pitLoss,0.013481831110504727,0.0027906799482883926
w01,0,10295,10295,positions_lost,0.007835982717517597,0.001656435745243411
w01,0,10295,10295,gap_to_physical_car,0.011971725941884082,0.00113861794199667
w01,0,10295,10295,has_drop_zone_data,0.004321922904028797,0.0018676175579359197
w01,0,10295,10295,pace_drop_ratio,0.017439689874256203,0.0038769522433673097
w01,0,10295,10295,tire_life_ratio,0.038228455794915205,0.003720825784086233
w01,0,10295,10295,pace_trend,0.008887401775614557,0.002806375965270694
w01,0,10295,10295,gapAhead_trend,0.010389055991966944,0.0016243094716035771
w01,0,10295,10295,race_progress_pct,0.046623653006026874,0.010121453572059782
w01,0,10295,10295,lapTime_vs_driver_prev_mean_pct,0.007208698292880867,0.003259050077782243
w01,0,10295,10295,lapTime_vs_team_prev_lapbucket_mean_pct,0.008101367363797773,0.0015539197446011708
w01,0,10295,10295,lapTime_vs_race_prev_lapbucket_mean_pct,0.014433077752385014,0.0061282079056954744
w02,10295,20591,10296,position,0.01343604862366784,0.005541929121782875
w02,10295,20591,10296,tyreLife,0.011968955797622855,0.007253727022380362
w02,10295,20591,10296,trackTemp,0.011244277476848336,0.001451610128317952
w02,10295,20591,10296,airTemp,0.010240843266984361,0.0012474847979438704
w02,10295,20591,10296,humidity,0.038864329113341034,0.005894492324994185
w02,10295,20591,10296,speedTrap,0.01907795414921476,0.002684623559313383
w02,10295,20591,10296,gapAhead,0.010661299093047444,0.003166086667061045
w02,10295,20591,10296,gapBehind,0.012755447856371971,0.004582640708364844
w02,10295,20591,10296,pitLoss,0.017253729030733522,0.0015179155728645896
w02,10295,20591,10296,positions_lost,0.008195073577165207,0.0011145823265100534
w02,10295,20591,10296,gap_to_physical_car,0.00745114319292145,0.001530702293375924
w02,10295,20591,10296,has_drop_zone_data,0.0039014138715549205,0.0009763406133914355
w02,10295,20591,10296,pace_drop_ratio,0.009885626551953764,0.002612074620250193
w02,10295,20591,10296,tire_life_ratio,0.02934114751991541,0.005532137153247409
w02,10295,20591,10296,pace_trend,0.003003672121154333,0.0013392903140600587
w02,10295,20591,10296,gapAhead_trend,0.007397835978466699,0.0007228962420545851
w02,10295,20591,10296,race_progress_pct,0.04684936942030511,0.003986551776450426
w02,10295,20591,10296,lapTime_vs_driver_prev_mean_pct,0.00025293571294311424,0.0010843530038611635
w02,10295,20591,10296,lapTime_vs_team_prev_lapbucket_mean_pct,0.0040894108087215775,0.0019525862903216789
w02,10295,20591,10296,lapTime_vs_race_prev_lapbucket_mean_pct,0.011668716019304859,0.0011420646552847248
w03,20591,30886,10295,position,0.018498692666872502,0.0031082752555693627
w03,20591,30886,10295,tyreLife,0.010343628604342365,0.002711252941565428
w03,20591,30886,10295,trackTemp,0.0047894605915433704,0.0020962863519394283
w03,20591,30886,10295,airTemp,0.004597005900258172,0.0020263089537583263
w03,20591,30886,10295,humidity,0.004257151588102292,0.0035106827159553395
w03,20591,30886,10295,speedTrap,0.005119696359070641,0.0029485816873398444
w03,20591,30886,10295,gapAhead,0.00972266868968571,0.001044238604713006
w03,20591,30886,10295,gapBehind,0.01767120615452413,0.0030002178010068554
w03,20591,30886,10295,pitLoss,0.002155253845224142,0.00155042381926033
w03,20591,30886,10295,positions_lost,0.010655864702309208,0.001185597024081563
w03,20591,30886,10295,gap_to_physical_car,0.011902210835758941,0.0012787704932053048
w03,20591,30886,10295,has_drop_zone_data,0.003300165661745985,0.001185220462068772
w03,20591,30886,10295,pace_drop_ratio,0.014318672396535897,0.0036449390054965444
w03,20591,30886,10295,tire_life_ratio,0.02458130224720022,0.004603688999657456
w03,20591,30886,10295,pace_trend,0.007443057052009089,0.0014425081288044076
w03,20591,30886,10295,gapAhead_trend,0.006526479350923398,0.0013817775364209776
w03,20591,30886,10295,race_progress_pct,0.062346757721084514,0.0035589463294385484
w03,20591,30886,10295,lapTime_vs_driver_prev_mean_pct,0.006055605140251358,0.0017905410641329959
w03,20591,30886,10295,lapTime_vs_team_prev_lapbucket_mean_pct,0.003913962002735877,0.0034531361919738135
