feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,131,0.7072519083969466,0.65,0.31611261526402257,0.4,1.0333333333333334
tire_life_ratio,FP,6,0.6870370370370371,0.6611111111111111,0.22133309782326704,0.43333333333333335,0.9666666666666667
pace_drop_ratio,TP,131,1.011994159265706,1.009688875965772,0.009724157395417267,1.0028078749102445,1.0241374707231532
pace_drop_ratio,FP,6,1.0118008620867154,1.0104396145445818,0.004799472206762163,1.0068504151138251,1.0181125566017395
race_progress_pct,TP,131,0.3874319650545344,0.32075471698113206,0.2053535858235517,0.15789473684210525,0.625
race_progress_pct,FP,6,0.3477519556466924,0.3405889884763124,0.13605017981046383,0.20558438349394614,0.49708249496981893
lapTime_vs_driver_prev_mean_pct,TP,131,0.983381390548833,0.9975578561552896,0.06331431590530494,0.9188364368394565,1.0078534231012635
lapTime_vs_driver_prev_mean_pct,FP,6,0.988345825017397,1.0034712548869855,0.03672262599510129,0.9506389917004894,1.0109272284647164
lapTime_vs_team_prev_lapbucket_mean_pct,TP,131,0.9791367705096183,0.9911129749509606,0.05870321017862236,0.926341967489048,1.0046138804125948
lapTime_vs_team_prev_lapbucket_mean_pct,FP,6,0.9926251643014941,1.0025566973213453,0.02767492085037909,0.9627028523086578,1.0126159432744792
lapTime_vs_race_prev_lapbucket_mean_pct,TP,131,0.9665584141659849,0.9714969988693903,0.05376998426210596,0.9216636070105437,0.9956858993138407
lapTime_vs_race_prev_lapbucket_mean_pct,FP,6,0.9719537426314995,0.983811418886789,0.032222730489376454,0.939963014368767,0.9920867946389426
lapTime,TP,131,91.89834351145039,93.062,12.776996897018774,71.395,103.888
lapTime,FP,6,90.07866666666666,84.99,13.83590902527028,78.0495,107.1965
trackTemp,TP,131,30.846564885496186,31.0,8.052568673770493,23.5,45.6
trackTemp,FP,6,38.93333333333333,40.849999999999994,8.872366588959727,28.85,47.099999999999994
airTemp,TP,131,21.69236641221374,21.1,4.533229614300504,17.3,29.3
airTemp,FP,6,24.0,24.45,3.4244220923634203,20.1,27.45
humidity,TP,131,51.80152671755725,50.0,12.672275350331908,33.0,68.0
humidity,FP,6,36.0,36.5,11.416362526362473,22.0,49.5
speedTrap,TP,131,295.35114503816794,296.0,16.900663370205613,281.0,310.0
speedTrap,FP,6,306.3333333333333,307.0,10.640593133008245,293.0,319.0
gapAhead,TP,131,134.67425954198475,4.383,314.57408058534617,0.505,999.0
gapAhead,FP,6,4.4585,2.2935,5.484126875203867,0.12,10.962
gapBehind,TP,131,33.33956488549618,3.79,127.5282505761337,0.353,96.188
gapBehind,FP,6,7.861166666666667,7.021999999999999,5.387740664900477,1.9825,14.579
position,TP,131,6.801526717557252,6.0,4.9815228784195575,1.0,14.0
position,FP,6,5.0,3.5,3.696845502136472,2.5,9.0
pitLoss,TP,131,22.12213740458015,22.0,0.8695256297629402,21.0,23.5
pitLoss,FP,6,22.0,22.0,0.7637626158259734,21.25,22.75
