model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,196,137,131,6,0.9562043795620438,0.043795620437956206,53
MOA,8319,1970,1743,227,0.8847715736040609,0.11522842639593908,6079
