protocol,score_type,bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
ml_pretrain,raw_proba,0.0,10302.0,0.0038627733828928497,0.013201320132013201,0.0,0.007744993641972522
ml_pretrain,raw_proba,1.0,10301.0,0.013665916623968757,0.016891563925832444,0.007744993641972522,0.020944331586360863
ml_pretrain,raw_proba,2.0,10302.0,0.0317363222748897,0.023587652882935354,0.020944331586360863,0.045117712765932086
ml_pretrain,raw_proba,3.0,10301.0,0.06338399201240967,0.02524026793515193,0.045117712765932086,0.08470272123813627
ml_pretrain,raw_proba,4.0,10301.0,0.11372056253650047,0.03155033491893991,0.08470272123813627,0.1472767144441604
ml_pretrain,raw_proba,5.0,10302.0,0.19122906007961818,0.037565521258008154,0.1472767144441604,0.24027485251426695
ml_pretrain,raw_proba,6.0,10301.0,0.302178708576957,0.04669449568003106,0.24027485251426695,0.3680880844593048
ml_pretrain,raw_proba,7.0,10302.0,0.44320189166279633,0.060861968549796155,0.3680880844593048,0.523372566699982
ml_pretrain,raw_proba,8.0,10301.0,0.6142835733890765,0.11445490729055431,0.523372566699982,0.7125879168510437
ml_pretrain,raw_proba,9.0,10302.0,0.8251187251658376,0.3798291593865269,0.7125879168510437,1.0
ml_pretrain,calibrated_proba,0.0,10147.0,0.004475862922751511,0.0101507834828028,0.0,0.0079808459696727
ml_pretrain,calibrated_proba,1.0,10423.0,0.009912685662503522,0.017557325146311042,0.0079808459696727,0.0117899249732047
ml_pretrain,calibrated_proba,2.0,10239.0,0.013841853698676469,0.025881433733763063,0.0117899249732047,0.0159596808063838
ml_pretrain,calibrated_proba,3.0,10264.0,0.017754554928768356,0.02114185502727981,0.0159596808063838,0.0196560196560196
ml_pretrain,calibrated_proba,4.0,10403.0,0.022426064484368353,0.030471979236758626,0.0196560196560196,0.025
ml_pretrain,calibrated_proba,5.0,10320.0,0.027965470072068035,0.030329457364341086,0.025,0.0311874105865522
ml_pretrain,calibrated_proba,6.0,10307.0,0.03601720628195197,0.04589114194236926,0.0311874105865522,0.0426136363636363
ml_pretrain,calibrated_proba,7.0,10177.0,0.04977859762853444,0.06917559202122434,0.0426136363636363,0.0611814345991561
ml_pretrain,calibrated_proba,8.0,10408.0,0.08320703419425704,0.12663335895465028,0.0611814345991561,0.1273516642547033
ml_pretrain,calibrated_proba,9.0,10327.0,0.29392035088847945,0.3710661373099642,0.1273516642547033,1.0
ml_racewise,raw_proba,0.0,12313.0,0.0007475594080766988,0.01023308698123934,0.0,0.0021927358582615004
ml_racewise,raw_proba,1.0,12313.0,0.005103090267062917,0.014212620807276862,0.0021927358582615004,0.008832830563187581
ml_racewise,raw_proba,2.0,12313.0,0.01508837787245814,0.020628603914561845,0.008832830563187581,0.02286845892667768
ml_racewise,raw_proba,3.0,12313.0,0.03520242964642684,0.025176642572890442,0.02286845892667768,0.0504986315965652
ml_racewise,raw_proba,4.0,12312.0,0.07255512935970558,0.02729044834307992,0.0504986315965652,0.0989749655127525
ml_racewise,raw_proba,5.0,12313.0,0.13584707474837804,0.037115244051003006,0.0989749655127525,0.17940112352371212
ml_racewise,raw_proba,6.0,12313.0,0.23771216877002696,0.041825712661414764,0.17940112352371212,0.3042599558830262
ml_racewise,raw_proba,7.0,12313.0,0.383257342330778,0.05538861366035897,0.3042599558830262,0.4697602272033693
ml_racewise,raw_proba,8.0,12313.0,0.5688869438482747,0.09152927799886298,0.4697602272033693,0.676857590675354
ml_racewise,raw_proba,9.0,12313.0,0.8056458204386827,0.34670673272151387,0.676857590675354,1.0
ml_racewise,calibrated_proba,0.0,12024.0,0.002256080740704235,0.009397870924817033,0.0,0.0059171597633136
ml_racewise,calibrated_proba,1.0,12044.0,0.008318397755740468,0.013782796413151777,0.0059171597633136,0.01065518023124
ml_racewise,calibrated_proba,2.0,12834.0,0.012575982357419552,0.019635343618513323,0.01065518023124,0.0151057401812688
ml_racewise,calibrated_proba,3.0,11163.0,0.016844172603078886,0.02409746483920093,0.0151057401812688,0.0192363181687025
ml_racewise,calibrated_proba,4.0,13485.0,0.02115386541469901,0.025880608083055246,0.0192363181687025,0.0241477272727272
ml_racewise,calibrated_proba,5.0,12263.0,0.02686961255399352,0.030498246758541955,0.0241477272727272,0.0301832554796981
ml_racewise,calibrated_proba,6.0,12355.0,0.03502725578792576,0.03949817887494941,0.0301832554796981,0.0405629139072847
ml_racewise,calibrated_proba,7.0,12325.0,0.04845266122186581,0.06434077079107504,0.0405629139072847,0.058695652173913
ml_racewise,calibrated_proba,8.0,12300.0,0.07924366850750093,0.10845528455284553,0.058695652173913,0.1111111111111111
ml_racewise,calibrated_proba,9.0,12336.0,0.2691449679144014,0.3334143968871595,0.1111111111111111,1.0
