year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,570,69,501,46,23,0.6666666666666666,0.021505376344086002,-86,-828,0.44516129032258067,0.40772532188841204
2023,1572,226,1346,163,63,0.7212389380530974,25,17,8,16,1,0.9411764705882353,0.21993753253513793,-209,-1547,0.0752212389380531,0.015903307888040712
2024,1647,299,1348,227,72,0.7591973244147158,48,33,15,31,2,0.9393939393939394,0.18019661497922368,-266,-1599,0.11036789297658862,0.029143897996357013
2025,1706,340,1366,259,81,0.7617647058823529,123,87,36,84,3,0.9655172413793104,0.2037525354969575,-253,-1583,0.25588235294117645,0.07209847596717468
