model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,no_future,2022 :: Saudi Arabian Grand Prix,ZHO,36,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Belgian Grand Prix,GAS,3,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,near_miss_3_5,2023 :: Hungarian Grand Prix,ZHO,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Mexico City Grand Prix,NOR,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2024 :: Bahrain Grand Prix,STR,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Canadian Grand Prix,PER,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,RUS,21,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Hungarian Grand Prix,RUS,25,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,SAR,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Miami Grand Prix,VER,36,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2024 :: Singapore Grand Prix,RUS,43,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2024 :: Spanish Grand Prix,PER,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: British Grand Prix,OCO,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Monaco Grand Prix,PIA,39,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,no_future,2025 :: Monaco Grand Prix,SAI,76,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Monaco Grand Prix,TSU,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,16.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Qatar Grand Prix,PER,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Saudi Arabian Grand Prix,MAG,2,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Saudi Arabian Grand Prix,MAG,4,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,no_future,2025 :: Saudi Arabian Grand Prix,PER,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Italian Grand Prix,ALO,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,17.0,,,
SDE,scored_fp,fp_scored,2023 :: Bahrain Grand Prix,GAS,12,0,nan,2.0,,,
SDE,excluded_no_match,no_future,2023 :: Mexico City Grand Prix,HAM,56,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Saudi Arabian Grand Prix,STR,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,no_future,2023 :: Singapore Grand Prix,STR,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: São Paulo Grand Prix,VET,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Australian Grand Prix,ALO,33,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Las Vegas Grand Prix,RUS,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Spanish Grand Prix,PER,5,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Las Vegas Grand Prix,PIA,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
