model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,206,177,29,0.8592233009708737,0.8051332719497867,0.9001611004385762
ML_minus_SDE,-814,-572,-242,0.12490957548067771,,
