threshold,net_benefit_model,net_benefit_all,net_benefit_none,protocol,score_type
0.01,0.0652667528559389,0.06564553460636555,0.0,ml_pretrain,raw_proba
0.02,0.05715296068434654,0.05611130536765499,0.0,ml_pretrain,raw_proba
0.03,0.04991215872375708,0.04638049408278545,0.0,ml_pretrain,raw_proba
0.04,0.04317089744212008,0.036446957562814464,0.0,ml_pretrain,raw_proba
0.05,0.036859220808415735,0.02630429395821251,0.0,ml_pretrain,raw_proba
0.060000000000000005,0.03097937606690205,0.015945829000321148,0.0,ml_pretrain,raw_proba
0.06999999999999999,0.025430266706122244,0.005364601355163326,0.0,ml_pretrain,raw_proba
0.08,0.02015789173801199,-0.005446652977932731,0.0,ml_pretrain,raw_proba
0.09,0.015050406080838546,-0.016495517296371554,0.0,ml_pretrain,raw_proba
0.09999999999999999,0.01014091798928958,-0.0277899119329979,0.0,ml_pretrain,raw_proba
0.11,0.005365859777156923,-0.03933811319067203,0.0,ml_pretrain,raw_proba
0.12,0.0005330203456689886,-0.05114877356783874,0.0,ml_pretrain,raw_proba
0.13,-0.0038751191797199436,-0.06323094337896336,0.0,ml_pretrain,raw_proba
0.14,-0.00828508830843104,-0.07559409388336992,0.0,ml_pretrain,raw_proba
0.15000000000000002,-0.012558422388515678,-0.08824814204670371,0.0,ml_pretrain,raw_proba
0.16,-0.016827877586019613,-0.1012034770710692,0.0,ml_pretrain,raw_proba
0.17,-0.02099249787579187,-0.11447098884300981,0.0,ml_pretrain,raw_proba
0.18000000000000002,-0.025081594794980143,-0.1280620984630465,0.0,ml_pretrain,raw_proba
0.19,-0.029027296156678595,-0.14198879103666434,0.0,ml_pretrain,raw_proba
0.2,-0.03271610930447023,-0.15626365092462263,0.0,ml_pretrain,raw_proba
0.21000000000000002,-0.03643158763286901,-0.17089989967050395,0.0,ml_pretrain,raw_proba
0.22,-0.04002553772975557,-0.18591143684576678,0.0,ml_pretrain,raw_proba
0.23,-0.04353886175950924,-0.20131288407753,0.0,ml_pretrain,raw_proba
0.24000000000000002,-0.047194455585160056,-0.21711963255223438,0.0,ml_pretrain,raw_proba
0.25,-0.05076283389150447,-0.23334789431959746,0.0,ml_pretrain,raw_proba
0.26,-0.0543122164051155,-0.2500147577563488,0.0,ml_pretrain,raw_proba
0.27,-0.05784674262758651,-0.2671382475886276,0.0,ml_pretrain,raw_proba
0.28,-0.0611895786482012,-0.2847373899162474,0.0,ml_pretrain,raw_proba
0.29000000000000004,-0.06433494916985291,-0.3028322827319692,0.0,ml_pretrain,raw_proba
0.3,-0.06751166612351878,-0.32144417248528306,0.0,ml_pretrain,raw_proba
0.31,-0.07051597241713078,-0.34059553730391035,0.0,ml_pretrain,raw_proba
0.32,-0.07361406534171211,-0.36031017755837963,0.0,ml_pretrain,raw_proba
0.33,-0.07661570804425671,-0.3806133145368629,0.0,ml_pretrain,raw_proba
0.34,-0.07935413936481744,-0.4015316980904518,0.0,ml_pretrain,raw_proba
0.35000000000000003,-0.08208139964680275,-0.42309372421492025,0.0,ml_pretrain,raw_proba
0.36000000000000004,-0.08483958646799014,-0.4453295636557784,0.0,ml_pretrain,raw_proba
0.37,-0.08731029307644367,-0.46827130276142565,0.0,ml_pretrain,raw_proba
0.38,-0.08979681944220463,-0.491953097967255,0.0,ml_pretrain,raw_proba
0.39,-0.09222339894794887,-0.5164113454749151,0.0,ml_pretrain,raw_proba
0.4,-0.0945396301509489,-0.541684867899497,0.0,ml_pretrain,raw_proba
0.41000000000000003,-0.09663246343094681,-0.5678151198977935,0.0,ml_pretrain,raw_proba
0.42000000000000004,-0.09868298389755763,-0.5948464150684452,0.0,ml_pretrain,raw_proba
0.43,-0.10106720959560478,-0.6228261767363125,0.0,ml_pretrain,raw_proba
0.44,-0.10306127401696011,-0.6518052156066039,0.0,ml_pretrain,raw_proba
0.45,-0.10519121222416858,-0.681838037708542,0.0,ml_pretrain,raw_proba
0.46,-0.10706171880758106,-0.7129831865549966,0.0,ml_pretrain,raw_proba
0.47000000000000003,-0.10897020858841772,-0.7453036240371663,0.0,ml_pretrain,raw_proba
0.48000000000000004,-0.11058733044851574,-0.7788671552686504,0.0,ml_pretrain,raw_proba
0.49,-0.11176575275064642,-0.8137469034111727,0.0,ml_pretrain,raw_proba
0.5,-0.11312915594816289,-0.8500218414793963,0.0,ml_pretrain,raw_proba
0.01,0.0652282177205732,0.06564553460636555,0.0,ml_pretrain,calibrated_proba
0.02,0.05643442058665916,0.05611130536765499,0.0,ml_pretrain,calibrated_proba
0.03,0.051025698889812364,0.04638049408278545,0.0,ml_pretrain,calibrated_proba
0.04,0.047055040528078435,0.036446957562814464,0.0,ml_pretrain,calibrated_proba
0.05,0.04348217045550341,0.02630429395821251,0.0,ml_pretrain,calibrated_proba
0.060000000000000005,0.04033558426215558,0.015945829000321148,0.0,ml_pretrain,calibrated_proba
0.06999999999999999,0.03784123723499918,0.005364601355163326,0.0,ml_pretrain,calibrated_proba
0.08,0.03568876630461161,-0.005446652977932731,0.0,ml_pretrain,calibrated_proba
0.09,0.033783621610637096,-0.016495517296371554,0.0,ml_pretrain,calibrated_proba
0.09999999999999999,0.031821687240800964,-0.0277899119329979,0.0,ml_pretrain,calibrated_proba
0.11,0.030240278087569877,-0.03933811319067203,0.0,ml_pretrain,calibrated_proba
0.12,0.028981657569727266,-0.05114877356783874,0.0,ml_pretrain,calibrated_proba
0.13,0.027576611150814438,-0.06323094337896336,0.0,ml_pretrain,calibrated_proba
0.14,0.026302107730980698,-0.07559409388336992,0.0,ml_pretrain,calibrated_proba
0.15000000000000002,0.024625197358465783,-0.08824814204670371,0.0,ml_pretrain,calibrated_proba
0.16,0.023550892958260822,-0.1012034770710692,0.0,ml_pretrain,calibrated_proba
0.17,0.022320997819360727,-0.11447098884300981,0.0,ml_pretrain,calibrated_proba
0.18000000000000002,0.021368661679627525,-0.1280620984630465,0.0,ml_pretrain,calibrated_proba
0.19,0.020597863310089684,-0.14198879103666434,0.0,ml_pretrain,calibrated_proba
0.2,0.01963063631509974,-0.15626365092462263,0.0,ml_pretrain,calibrated_proba
0.21000000000000002,0.018945747731220167,-0.17089989967050395,0.0,ml_pretrain,calibrated_proba
0.22,0.01826520160743332,-0.18591143684576678,0.0,ml_pretrain,calibrated_proba
0.23,0.017433219597952892,-0.20131288407753,0.0,ml_pretrain,calibrated_proba
0.24000000000000002,0.01683505468033526,-0.21711963255223438,0.0,ml_pretrain,calibrated_proba
0.25,0.016269475319128285,-0.23334789431959746,0.0,ml_pretrain,calibrated_proba
0.26,0.015387682979781218,-0.2500147577563488,0.0,ml_pretrain,calibrated_proba
0.27,0.014846487976548167,-0.2671382475886276,0.0,ml_pretrain,calibrated_proba
0.28,0.013894955966498942,-0.2847373899162474,0.0,ml_pretrain,calibrated_proba
0.29000000000000004,0.01336794245060715,-0.3028322827319692,0.0,ml_pretrain,calibrated_proba
0.3,0.01284972368795113,-0.32144417248528306,0.0,ml_pretrain,calibrated_proba
0.31,0.011783144005340432,-0.34059553730391035,0.0,ml_pretrain,calibrated_proba
0.32,0.011476341252416124,-0.36031017755837963,0.0,ml_pretrain,calibrated_proba
0.33,0.010780780367443954,-0.3806133145368629,0.0,ml_pretrain,calibrated_proba
0.34,0.010244756941839891,-0.4015316980904518,0.0,ml_pretrain,calibrated_proba
0.35000000000000003,0.009862641362908313,-0.42309372421492025,0.0,ml_pretrain,calibrated_proba
0.36000000000000004,0.009286875697713925,-0.4453295636557784,0.0,ml_pretrain,calibrated_proba
0.37,0.009115177401349317,-0.46827130276142565,0.0,ml_pretrain,calibrated_proba
0.38,0.008732520945117606,-0.491953097967255,0.0,ml_pretrain,calibrated_proba
0.39,0.00851205021073646,-0.5164113454749151,0.0,ml_pretrain,calibrated_proba
0.4,0.00789205455516187,-0.541684867899497,0.0,ml_pretrain,calibrated_proba
0.41000000000000003,0.007171738195112279,-0.5678151198977935,0.0,ml_pretrain,calibrated_proba
0.42000000000000004,0.006663910679228166,-0.5948464150684452,0.0,ml_pretrain,calibrated_proba
0.43,0.006421991006249303,-0.6228261767363125,0.0,ml_pretrain,calibrated_proba
0.44,0.006262610854175189,-0.6518052156066039,0.0,ml_pretrain,calibrated_proba
0.45,0.006074137482184854,-0.681838037708542,0.0,ml_pretrain,calibrated_proba
0.46,0.00579275581945096,-0.7129831865549966,0.0,ml_pretrain,calibrated_proba
0.47000000000000003,0.005688308810129318,-0.7453036240371663,0.0,ml_pretrain,calibrated_proba
0.48000000000000004,0.005327827538185253,-0.7788671552686504,0.0,ml_pretrain,calibrated_proba
0.49,0.005180284995617429,-0.8137469034111727,0.0,ml_pretrain,calibrated_proba
