threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.057936303545368696,0.05792036103650834,0.0
0.02,0.048580678730415675,0.048307303496064546,0.0
0.03,0.03939721386641745,0.038496038583652845,0.0
0.04,0.03045157156346958,0.028480372318899223,0.0
0.05,0.02186202049031928,0.01825384992225606,0.0
0.060000000000000005,0.013520239028044466,0.007809741942705582,0.0
0.06999999999999999,0.005441617385325705,-0.0028589705095233703,0.0
0.08,-0.0021519187795822903,-0.01375961149332254,0.0
0.09,-0.009517879934715229,-0.02489982700423818,0.0
0.09999999999999999,-0.016709384414766854,-0.036287602859840826,0.0
0.11,-0.02349546878623493,-0.04793128379085028,0.0
0.12,-0.03010190942202272,-0.059839593833928104,0.0
0.13,-0.03647506477437121,-0.07202165813086985,0.0
0.14,-0.04255126914063603,-0.08448702624867065,0.0
0.15000000000000002,-0.04862522912847862,-0.09724569714571386,0.0
0.16,-0.05440442465938218,-0.11030814592125805,0.0
0.17,-0.05994158747495039,-0.1236853524986226,0.0
0.18000000000000002,-0.06557037241760522,-0.1373888324071424,0.0
0.19,-0.07035837942353522,-0.15143066984426756,0.0
0.2,-0.07475718332658844,-0.16582355321732095,0.0
0.21000000000000002,-0.0795040187696264,-0.18058081338462884,0.0
0.22,-0.08390976351316293,-0.19571646483827787,0.0
0.23,-0.08824073538763946,-0.21124525009591782,0.0
0.24000000000000002,-0.0917037636584379,-0.22718268759717997,0.0
0.25,-0.0946715230001349,-0.24354512343180895,0.0
0.26,-0.09783105647128311,-0.2603497872619686,0.0
0.27,-0.10052832029625855,-0.2776148528408997,0.0
0.28,-0.10395926075812764,-0.29535950357480106,0.0
0.29000000000000004,-0.1066181793309432,-0.3136040036251504,0.0
0.3,-0.10956235185292246,-0.3323697751055097,0.0
0.31,-0.11283702543709936,-0.3516794819910968,0.0
0.32,-0.11521175042254861,-0.3715571214321423,0.0
0.33,-0.11788387081186544,-0.3920281232445624,0.0
0.34,-0.12033528322480169,-0.41311945844523756,0.0
0.35000000000000003,-0.12171652709896338,-0.4348597578059335,0.0
0.36000000000000004,-0.12329016592472686,-0.4572794415216513,0.0
0.37,-0.12425019110571522,-0.48041086122834403,0.0
0.38,-0.12428819467108783,-0.5042884557642852,0.0
0.39,-0.12545660812971454,-0.5289489222522242,0.0
0.4,-0.12592742479428035,-0.5544314042897613,0.0
0.41000000000000003,-0.1274876705375577,-0.5807776992777234,0.0
0.42000000000000004,-0.1279602003935305,-0.6080324871963049,0.0
0.43,-0.1289633432021981,-0.6362435834629065,0.0
0.44,-0.13011504885240216,-0.6654622188818871,0.0
0.45,-0.13071263014605788,-0.695743350134285,0.0
0.46,-0.13191090726501492,-0.7271460047664015,0.0
0.47000000000000003,-0.13185938013026582,-0.759733665233692,0.0
0.48000000000000004,-0.13214207888428853,-0.7935746972574169,0.0
0.49,-0.13200022218519133,-0.8287428285761897,0.0
0.5,-0.13160663698907324,-0.8653176851477136,0.0
