feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
humidity,51.80152671755725,36.0,-15.801526717557252,-1.3101690499240857,131,6
trackTemp,30.846564885496186,38.93333333333333,8.086768447837144,0.954485026191583,131,6
speedTrap,295.35114503816794,306.3333333333333,10.982188295165372,0.7776721685333631,131,6
gapAhead,134.67425954198475,4.4585,-130.21575954198477,-0.5853149589004013,131,6
airTemp,21.69236641221374,24.0,2.3076335877862597,0.5744290066453498,131,6
position,6.801526717557252,5.0,-1.8015267175572518,-0.41070080206003207,131,6
lapTime_vs_team_prev_lapbucket_mean_pct,0.9791367705096183,0.9926251643014941,0.013488393791875719,0.2939224075238072,131,6
gapBehind,33.33956488549618,7.861166666666667,-25.478398218829515,-0.28228869640787413,131,6
race_progress_pct,0.3874319650545344,0.3477519556466924,-0.039680009407842,-0.22780585652373234,131,6
pitLoss,22.12213740458015,22.0,-0.1221374045801511,-0.14924755169843745,131,6
lapTime,91.89834351145039,90.07866666666666,-1.8196768447837286,-0.13664333416369803,131,6
lapTime_vs_race_prev_lapbucket_mean_pct,0.9665584141659849,0.9719537426314995,0.005395328465514604,0.12172040269683153,131,6
lapTime_vs_driver_prev_mean_pct,0.983381390548833,0.988345825017397,0.004964434468563983,0.09592099320551997,131,6
tire_life_ratio,0.7072519083969466,0.6870370370370371,-0.020214871359909514,-0.07408256151271138,131,6
pace_drop_ratio,1.011994159265706,1.0118008620867154,-0.0001932971789906368,-0.025208535577355654,131,6
