model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,137,131,6,0.9562043795620438,0.9077469207673288,0.9797758374223464
ML_minus_SDE,-883,-618,-265,0.22189065407184783,,
