paradigm,comparison_mode,actionable,scored,excluded,tp,fp,precision,eval_instances,accuracy_pct,kappa_pct,source_artifact,notes
SDE,full_h2_actionable_one_to_one,6323,1020,5303,749,271,0.734313725490196,,,,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/heuristic_comparator_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,direct comparator metrics under fixed H=2 contract
ML_BATCH,full_h2_actionable_one_to_one,495,315,180,302,13,0.9587301587301588,,,,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/ml_comparator_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,direct comparator metrics under fixed H=2 contract
MOA_ARF_DECISION,full_h2_actionable_one_to_one,5191,1369,3822,1224,145,0.8940832724616509,,,,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/moa_comparator_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,direct comparator metrics under fixed H=2 contract from decoded MOA decisions
MOA_ARF,prequential_stream_baseline,,,,,,,124136.0,90.43549010762388,15.634306137058584,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/moa_arf_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,"prequential stream metrics, not yet mapped to comparator semantics; use as baseline until MOA decision mapping is added"
