feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
tire_life_ratio,0.3670998,-0.09319823,0.42350364,0.46841722222222226
humidity,0.3134508,-0.14599524,0.4911174,53.9804
trackTemp,0.288811,-0.20215914,0.4773844,35.25468000000001
airTemp,0.2626748,-0.14445141,0.32528636,24.01612
lapTime,0.24475676,-0.1445812,0.29506084,92.129208
speedTrap,0.1766583,-0.08742132,0.23738182,299.44184184184184
position,0.15840335,-0.082681455,0.20169349,10.4174
tyreLife,0.14541996,-0.1144862,0.2157927,14.9222
gap_to_physical_car,0.13652661,-0.07158258,0.14384939,628.3779562
gapBehind,0.12799962,-0.08758114,0.1451194,124.8002632
pace_drop_ratio,0.12599775,-0.07116331,0.22747631,1.0107851006479505
gapAhead,0.12384592,-0.077643655,0.14331794,105.18133800000001
gapAhead_trend,0.11382319,-0.058965843,0.12206481,1.6023842
positions_lost,0.08581766,-0.028276227,0.14753273,2.0724
