threshold,net_benefit_model,net_benefit_all,net_benefit_none,protocol,score_type
0.01,0.06476403112815285,0.06564553460636555,0.0,ml_pretrain,raw_proba
0.02,0.0559324132506956,0.05611130536765499,0.0,ml_pretrain,raw_proba
0.03,0.04768728005279983,0.04638049408278545,0.0,ml_pretrain,raw_proba
0.04,0.039892248701645386,0.036446957562814464,0.0,ml_pretrain,raw_proba
0.05,0.032390275304822747,0.02630429395821251,0.0,ml_pretrain,raw_proba
0.060000000000000005,0.024982108575388205,0.015945829000321148,0.0,ml_pretrain,raw_proba
0.06999999999999999,0.017793107695455154,0.005364601355163326,0.0,ml_pretrain,raw_proba
0.08,0.010921161755675098,-0.005446652977932731,0.0,ml_pretrain,raw_proba
0.09,0.004248927794042581,-0.016495517296371554,0.0,ml_pretrain,raw_proba
0.09999999999999999,-0.0021582617418175326,-0.0277899119329979,0.0,ml_pretrain,raw_proba
0.11,-0.008465986463190966,-0.03933811319067203,0.0,ml_pretrain,raw_proba
0.12,-0.014589225752648566,-0.05114877356783874,0.0,ml_pretrain,raw_proba
0.13,-0.020640783816216937,-0.06323094337896336,0.0,ml_pretrain,raw_proba
0.14,-0.02651408860077953,-0.07559409388336992,0.0,ml_pretrain,raw_proba
0.15000000000000002,-0.03209755289777903,-0.08824814204670371,0.0,ml_pretrain,raw_proba
0.16,-0.037498931038706815,-0.1012034770710692,0.0,ml_pretrain,raw_proba
0.17,-0.04283502987341299,-0.11447098884300981,0.0,ml_pretrain,raw_proba
0.18000000000000002,-0.04814335586932049,-0.1280620984630465,0.0,ml_pretrain,raw_proba
0.19,-0.053341746347619276,-0.14198879103666434,0.0,ml_pretrain,raw_proba
0.2,-0.05835557928457021,-0.15626365092462263,0.0,ml_pretrain,raw_proba
0.21000000000000002,-0.06310018757253616,-0.17089989967050395,0.0,ml_pretrain,raw_proba
0.22,-0.06761325522670959,-0.18591143684576678,0.0,ml_pretrain,raw_proba
0.23,-0.07217559414812241,-0.20131288407753,0.0,ml_pretrain,raw_proba
0.24000000000000002,-0.07655195845265253,-0.21711963255223438,0.0,ml_pretrain,raw_proba
0.25,-0.08101409179892896,-0.23334789431959746,0.0,ml_pretrain,raw_proba
0.26,-0.08521508937953148,-0.2500147577563488,0.0,ml_pretrain,raw_proba
0.27,-0.08902587001892928,-0.2671382475886276,0.0,ml_pretrain,raw_proba
0.28,-0.0929395395492566,-0.2847373899162474,0.0,ml_pretrain,raw_proba
0.29000000000000004,-0.09662424383704549,-0.3028322827319692,0.0,ml_pretrain,raw_proba
0.3,-0.10026001761185958,-0.32144417248528306,0.0,ml_pretrain,raw_proba
0.31,-0.10365705852602024,-0.34059553730391035,0.0,ml_pretrain,raw_proba
0.32,-0.1068462331299554,-0.36031017755837963,0.0,ml_pretrain,raw_proba
0.33,-0.11009206744996568,-0.3806133145368629,0.0,ml_pretrain,raw_proba
0.34,-0.11312327272138956,-0.4015316980904518,0.0,ml_pretrain,raw_proba
0.35000000000000003,-0.11584197969675815,-0.42309372421492025,0.0,ml_pretrain,raw_proba
0.36000000000000004,-0.11874666310731449,-0.4453295636557784,0.0,ml_pretrain,raw_proba
0.37,-0.1212430921987783,-0.46827130276142565,0.0,ml_pretrain,raw_proba
0.38,-0.12380721254186283,-0.491953097967255,0.0,ml_pretrain,raw_proba
0.39,-0.12616338699680058,-0.5164113454749151,0.0,ml_pretrain,raw_proba
0.4,-0.12797165461340584,-0.541684867899497,0.0,ml_pretrain,raw_proba
0.41000000000000003,-0.12977590066281283,-0.5678151198977935,0.0,ml_pretrain,raw_proba
0.42000000000000004,-0.13164503997576518,-0.5948464150684452,0.0,ml_pretrain,raw_proba
0.43,-0.13277933463956448,-0.6228261767363125,0.0,ml_pretrain,raw_proba
0.44,-0.1340664674353943,-0.6518052156066039,0.0,ml_pretrain,raw_proba
0.45,-0.1354595314892359,-0.681838037708542,0.0,ml_pretrain,raw_proba
0.46,-0.1364220600739554,-0.7129831865549966,0.0,ml_pretrain,raw_proba
0.47000000000000003,-0.13748666387657413,-0.7453036240371663,0.0,ml_pretrain,raw_proba
0.48000000000000004,-0.13818002606043184,-0.7788671552686504,0.0,ml_pretrain,raw_proba
0.49,-0.1386373391272735,-0.8137469034111727,0.0,ml_pretrain,raw_proba
0.5,-0.1394554191137213,-0.8500218414793963,0.0,ml_pretrain,raw_proba
0.01,0.0649977913386155,0.06564553460636555,0.0,ml_pretrain,calibrated_proba
0.02,0.05472850694420369,0.05611130536765499,0.0,ml_pretrain,calibrated_proba
0.03,0.048548930167811616,0.04638049408278545,0.0,ml_pretrain,calibrated_proba
0.04,0.04356080829652639,0.036446957562814464,0.0,ml_pretrain,calibrated_proba
0.05,0.040217444061544434,0.02630429395821251,0.0,ml_pretrain,calibrated_proba
0.060000000000000005,0.03668872845412928,0.015945829000321148,0.0,ml_pretrain,calibrated_proba
0.06999999999999999,0.03489198514257502,0.005364601355163326,0.0,ml_pretrain,calibrated_proba
0.08,0.03280231456372964,-0.005446652977932731,0.0,ml_pretrain,calibrated_proba
0.09,0.030873771183434824,-0.016495517296371554,0.0,ml_pretrain,calibrated_proba
0.09999999999999999,0.029357105491649004,-0.0277899119329979,0.0,ml_pretrain,calibrated_proba
0.11,0.028204794000219233,-0.03933811319067203,0.0,ml_pretrain,calibrated_proba
0.12,0.027180948935062416,-0.05114877356783874,0.0,ml_pretrain,calibrated_proba
0.13,0.025987176290028065,-0.06323094337896336,0.0,ml_pretrain,calibrated_proba
0.14,0.024889353435771942,-0.07559409388336992,0.0,ml_pretrain,calibrated_proba
0.15000000000000002,0.02389372193084388,-0.08824814204670371,0.0,ml_pretrain,calibrated_proba
0.16,0.022725770403293093,-0.1012034770710692,0.0,ml_pretrain,calibrated_proba
0.17,0.02183305858487096,-0.11447098884300981,0.0,ml_pretrain,calibrated_proba
0.18000000000000002,0.020760178188589634,-0.1280620984630465,0.0,ml_pretrain,calibrated_proba
0.19,0.020002360917114433,-0.14198879103666434,0.0,ml_pretrain,calibrated_proba
0.2,0.01942435567635781,-0.15626365092462263,0.0,ml_pretrain,calibrated_proba
0.21000000000000002,0.018692251404950858,-0.17089989967050395,0.0,ml_pretrain,calibrated_proba
0.22,0.01808798071478264,-0.18591143684576678,0.0,ml_pretrain,calibrated_proba
0.23,0.017598874454672155,-0.20131288407753,0.0,ml_pretrain,calibrated_proba
0.24000000000000002,0.016752286968939115,-0.21711963255223438,0.0,ml_pretrain,calibrated_proba
0.25,0.016350369687262375,-0.23334789431959746,0.0,ml_pretrain,calibrated_proba
0.26,0.01591922456845041,-0.2500147577563488,0.0,ml_pretrain,calibrated_proba
0.27,0.015302466258737425,-0.2671382475886276,0.0,ml_pretrain,calibrated_proba
0.28,0.01470174246468961,-0.2847373899162474,0.0,ml_pretrain,calibrated_proba
0.29000000000000004,0.01415792722651494,-0.3028322827319692,0.0,ml_pretrain,calibrated_proba
0.3,0.01370812849723688,-0.32144417248528306,0.0,ml_pretrain,calibrated_proba
0.31,0.013256687678099503,-0.34059553730391035,0.0,ml_pretrain,calibrated_proba
0.32,0.01265435359213821,-0.36031017755837963,0.0,ml_pretrain,calibrated_proba
0.33,0.012237748306470364,-0.3806133145368629,0.0,ml_pretrain,calibrated_proba
0.34,0.012029139622208591,-0.4015316980904518,0.0,ml_pretrain,calibrated_proba
0.35000000000000003,0.011625640776735276,-0.42309372421492025,0.0,ml_pretrain,calibrated_proba
0.36000000000000004,0.011136120953259235,-0.4453295636557784,0.0,ml_pretrain,calibrated_proba
0.37,0.01084076983703252,-0.46827130276142565,0.0,ml_pretrain,calibrated_proba
0.38,0.01028224827890708,-0.491953097967255,0.0,ml_pretrain,calibrated_proba
0.39,0.009748381383261867,-0.5164113454749151,0.0,ml_pretrain,calibrated_proba
0.4,0.009247844165089225,-0.541684867899497,0.0,ml_pretrain,calibrated_proba
0.41000000000000003,0.008985856099613599,-0.5678151198977935,0.0,ml_pretrain,calibrated_proba
0.42000000000000004,0.008590312425207577,-0.5948464150684452,0.0,ml_pretrain,calibrated_proba
0.43,0.008130820669107123,-0.6228261767363125,0.0,ml_pretrain,calibrated_proba
0.44,0.00786085244173872,-0.6518052156066039,0.0,ml_pretrain,calibrated_proba
0.45,0.00759818737783112,-0.681838037708542,0.0,ml_pretrain,calibrated_proba
0.46,0.007210744210210307,-0.7129831865549966,0.0,ml_pretrain,calibrated_proba
0.47000000000000003,0.006863627663676017,-0.7453036240371663,0.0,ml_pretrain,calibrated_proba
0.48000000000000004,0.006363524356049716,-0.7788671552686504,0.0,ml_pretrain,calibrated_proba
0.49,0.0063156612448406054,-0.8137469034111727,0.0,ml_pretrain,calibrated_proba
0.5,0.006086492258408969,-0.8500218414793963,0.0,ml_pretrain,calibrated_proba
0.01,0.05631278881284972,0.05758688986035915,0.0,ml_racewise,raw_proba
0.02,0.048276562775294074,0.04797042955281179,0.0,ml_racewise,raw_proba
0.03,0.04093284781454167,0.03815569171315006,0.0,ml_racewise,raw_proba
0.04,0.03405946879559919,0.02813648016849537,0.0,ml_racewise,raw_proba
0.05,0.027448320140067047,0.01790633785447953,0.0,ml_racewise,raw_proba
0.060000000000000005,0.020943611638580738,0.007458532938037818,0.0,ml_racewise,raw_proba
0.06999999999999999,0.01468326295081556,-0.003213955955101544,0.0,ml_racewise,raw_proba
0.08,0.008714790815005966,-0.014118455476352654,0.0,ml_racewise,raw_proba
0.09,0.0029348296287847603,-0.025262614327741142,0.0,ml_racewise,raw_proba
0.09999999999999999,-0.002628679406692716,-0.03665442115360493,0.0,ml_racewise,raw_proba
0.11,-0.008072012900328052,-0.0483022236384769,0.0,ml_racewise,raw_proba
0.12,-0.01333892982895249,-0.06021474890709595,0.0,ml_racewise,raw_proba
0.13,-0.018519498707224455,-0.07240112533131547,0.0,ml_racewise,raw_proba
0.14,-0.02354724587391519,-0.08487090585842379,0.0,ml_racewise,raw_proba
0.15000000000000002,-0.028343301358259874,-0.09763409298616997,0.0,ml_racewise,raw_proba
0.16,-0.032961559092689864,-0.11070116552171959,0.0,ml_racewise,raw_proba
0.17,-0.037567319689302256,-0.12408310727499332,0.0,ml_racewise,raw_proba
0.18000000000000002,-0.042119220987546495,-0.13779143785151765,0.0,ml_racewise,raw_proba
0.19,-0.046581679015955266,-0.15183824572622767,0.0,ml_racewise,raw_proba
0.2,-0.05082880556164673,-0.16623622379780556,0.0,ml_racewise,raw_proba
0.21000000000000002,-0.05483186255929384,-0.1809987076433474,0.0,ml_racewise,raw_proba
0.22,-0.05863706419221368,-0.19613971671569802,0.0,ml_racewise,raw_proba
0.23,-0.06253023832148163,-0.21167399875096682,0.0,ml_racewise,raw_proba
0.24000000000000002,-0.06625144104321912,-0.22761707768190065,0.0,ml_racewise,raw_proba
0.25,-0.06999704916523863,-0.2439853053843259,0.0,ml_racewise,raw_proba
0.26,-0.07353219749974374,-0.26079591761924925,0.0,ml_racewise,raw_proba
0.27,-0.07674799689422512,-0.2780670945729376,0.0,ml_racewise,raw_proba
0.28,-0.08004342329318576,-0.2958180264420062,0.0,ml_racewise,raw_proba
0.29000000000000004,-0.08314113252801744,-0.3140689845609077,0.0,ml_racewise,raw_proba
0.3,-0.08623128124626556,-0.33284139862606354,0.0,ml_racewise,raw_proba
0.31,-0.08909108051047207,-0.35215794063513695,0.0,ml_racewise,raw_proba
0.32,-0.09178608948147643,-0.37204261623271245,0.0,ml_racewise,raw_proba
0.33,-0.09457209239236174,-0.3925208642361858,0.0,ml_racewise,raw_proba
0.34,-0.0970603139304258,-0.41361966520946136,0.0,ml_racewise,raw_proba
0.35000000000000003,-0.09929611033331523,-0.4353676600588377,0.0,ml_racewise,raw_proba
0.36000000000000004,-0.1016834986071519,-0.45779527974725703,0.0,ml_racewise,raw_proba
0.37,-0.10379461365013104,-0.4809348873622928,0.0,ml_racewise,raw_proba
0.38,-0.10592824362804393,-0.5048209339326523,0.0,ml_racewise,raw_proba
0.39,-0.10788791549952477,-0.5294901295708925,0.0,ml_racewise,raw_proba
0.4,-0.10935956056926747,-0.5549816317304074,0.0,ml_racewise,raw_proba
0.41000000000000003,-0.11087159381280016,-0.5813372526071939,0.0,ml_racewise,raw_proba
0.42000000000000004,-0.1124310052171244,-0.6086016879969732,0.0,ml_racewise,raw_proba
0.43,-0.11339084825171941,-0.636822770242534,0.0,ml_racewise,raw_proba
0.44,-0.11446879753290104,-0.6660517482825793,0.0,ml_racewise,raw_proba
0.45,-0.11556098961990344,-0.6963435982513534,0.0,ml_racewise,raw_proba
0.46,-0.11636666513259356,-0.7277573685893415,0.0,ml_racewise,raw_proba
0.47000000000000003,-0.11728794329371084,-0.7603565642231027,0.0,ml_racewise,raw_proba
