year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,,,,,,,,,,,
2023,1572,226,1346,163,63,0.7212389380530974,100.0,51.0,49.0,49.0,2.0,0.9607843137254902,0.23954537567239287,-175.0,-1472.0,0.22566371681415928,0.06361323155216285
2024,1647,299,1348,227,72,0.7591973244147158,166.0,110.0,56.0,104.0,6.0,0.9454545454545454,0.18625722103982967,-189.0,-1481.0,0.36789297658862874,0.100789313904068
2025,1706,340,1366,259,81,0.7617647058823529,229.0,154.0,75.0,149.0,5.0,0.9675324675324676,0.20576776165011468,-186.0,-1477.0,0.45294117647058824,0.134232121922626
