model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,495,315,302,13,0.9587301587301588,0.04126984126984127,169
MOA,5191,1369,1224,145,0.8940832724616509,0.10591672753834916,3645
