year,total_events,ok_events,failed_events,availability_pct,p50_total_ms,p95_total_ms,p99_total_ms
2022,525,525,0,100.0,2.377525999690988,9.20770250068016,18.601561380746713
2023,693,693,0,100.0,2.353546000449569,16.392617800738662,22.230080959343496
2024,808,808,0,100.0,2.473879000717716,18.999996849652234,27.983698500320315
2025,974,974,0,100.0,2.4524684995412827,17.179733350167222,21.602129110397073
