feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
gapAhead,154.61195973154364,31.25283333333333,-123.35912639821031,-0.5125103172309867,149,6
speedTrap,294.76510067114094,302.5,7.734899328859058,0.48718248981677154,149,6
tire_life_ratio,0.7076771066368382,0.5944444444444444,-0.11323266219239381,-0.40817311012023394,149,6
lapTime,90.80937583892616,84.95966666666666,-5.8497091722594945,-0.3843954077053436,149,6
lapTime_vs_driver_prev_mean_pct,0.9900418839564596,0.9725427032720443,-0.01749918068441536,-0.37228405025314226,149,6
trackTemp,32.46912751677852,34.900000000000006,2.430872483221485,0.34625645471531385,149,6
humidity,49.24832214765101,45.833333333333336,-3.414988814317674,-0.2566736911573721,149,6
airTemp,22.710738255033558,23.599999999999998,0.88926174496644,0.24571791742431964,149,6
gapBehind,44.99930201342282,32.3325,-12.666802013422817,-0.11458646346385397,149,6
pace_drop_ratio,1.015114789435405,1.0130128113036427,-0.002101978131762161,-0.0923049959582421,149,6
position,7.154362416107382,6.833333333333333,-0.3210290827740492,-0.06627621176055509,149,6
pitLoss,22.110738255033556,22.083333333333332,-0.02740492170022435,-0.024742052525414934,149,6
race_progress_pct,0.392844095029849,0.3969099445155783,0.0040658494857293,0.02262001940567004,149,6
