test_id,test_name,why_this_test,status,metric,value,threshold,artifact,feature_profile,excluded_features,track_agnostic_mode,drop_source_year_feature
B1,ML precision delta vs SDE,Checks if ML improves precision under the same comparator semantics.,PASS,precision_delta,0.2269765970904491,0.0,data_lake/reports/no_source_year_percent_conservative_v1/significance_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
B2,Two-proportion z significance,Tests whether observed precision difference is statistically significant.,PASS,p_value,5.546672010581233e-10,0.05,data_lake/reports/no_source_year_percent_conservative_v1/significance_tests_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
C1,Reference precision floor,Verifies threshold policy remains at or above the SDE precision floor.,PASS,reference_precision,0.8736111111111111,0.734313725490196,data_lake/reports/no_source_year_percent_conservative_v1/threshold_frontier_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
C2,Lookahead no-match dominance,"Checks that most exclusions are horizon-related, supporting comparator interpretation.",PASS,no_match_rate,0.9640653750405888,0.9,data_lake/reports/no_source_year_percent_conservative_v1/threshold_frontier_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
D1,Constrained precision,Ensures calibrated constrained policy is precise enough for strategy actions.,PASS,constrained_precision,0.8744186046511628,0.6,data_lake/reports/no_source_year_percent_conservative_v1/calibration_policy_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
D2,Precision-floor reachability,Measures whether candidate thresholds can reliably satisfy precision constraints.,PASS,reachability_ratio,0.9264264264264264,0.9,data_lake/reports/no_source_year_percent_conservative_v1/calibration_policy_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
D3,Fallback rate,Checks constrained policy stability when precision floor is hard to satisfy.,PASS,fallback_rate,0.0,0.1,data_lake/reports/no_source_year_percent_conservative_v1/calibration_policy_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
F1,Training-serving parity gate,Guards against feature/schema skew between offline training and live serving.,PASS,feature_parity_overall_gate,1.0,1.0,data_lake/reports/no_source_year_percent_conservative_v1/feature_parity_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
G1,Latency gate,Checks p95 end-to-end inference latency against operational budget.,PASS,latency_p95_total_ms,4.493659499621569,500.0,data_lake/reports/no_source_year_percent_conservative_v1/live_latency_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
G2,Availability gate,Ensures prediction path remains available across replayed events.,PASS,availability_pct,100.0,99.0,data_lake/reports/no_source_year_percent_conservative_v1/live_latency_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
H1,Integrated deployment decision,Combines B/C/D/F/G evidence into one actionable readiness decision.,GO,integrated_gate_decision,,,data_lake/reports/no_source_year_percent_conservative_v1/integrated_gate_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
J1,Split-integrity gate,Verifies grouped race CV and OOF coverage assumptions are preserved.,FAIL,split_integrity_overall,0.0,1.0,data_lake/reports/no_source_year_percent_conservative_v1/split_integrity_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
J2,Comparator-invariance gate,"Ensures fairness contract (actionable-only, fixed horizon, one-to-one matching) stays frozen.",PASS,comparator_invariance_overall,1.0,1.0,data_lake/reports/no_source_year_percent_conservative_v1/comparator_invariance_summary_2022_2025_no_source_year_percent_conservative_v1.csv,percent_conservative_v1,"team,rainfall,hasGapAhead,hasGapBehind",track_percentage_v1,1
