model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,215,155,149,6,0.9612903225806452,0.03870967741935484,55
MOA,5438,1605,1456,149,0.907165109034268,0.09283489096573208,3638
