year,total_events,ok_events,failed_events,availability_pct,p50_total_ms,p95_total_ms,p99_total_ms
2022,525,525,0,100.0,2.440322999973432,4.214685699662359,8.198683199989318
2023,693,693,0,100.0,2.4466519989800872,4.536829999779002,12.716751519546973
2024,808,808,0,100.0,2.4445824992653797,4.565450349036836,10.376227538981736
2025,974,974,0,100.0,2.437901999655878,4.491902649260735,13.726192659778452
