metric_group,protocol,score_type,ece,mce,rows,prevalence,n_points,best_net_benefit,best_threshold,mean_precision,std_precision,mean_coverage,std_coverage,n_races
batch_calibration,ml_pretrain,raw_proba,0.18813911969599548,0.5017007477780405,103015.0,,,,,,,,,
batch_calibration,ml_pretrain,calibrated_proba,0.019790287229923556,0.08908226691421944,103015.0,,,,,,,,,
batch_calibration,ml_racewise,raw_proba,0.16329847861715904,0.47497824913189257,123129.0,,,,,,,,,
batch_calibration,ml_racewise,calibrated_proba,0.015722790789484797,0.074472807620027,123129.0,,,,,,,,,
moa_surrogate_calibration,moa_surrogate,y_score,0.2384937715693341,0.49951725622411053,24688.0,,,,,,,,,
batch_pr_gain,ml_pretrain,raw_proba,,,,0.07498907926030189,102850.0,,,,,,,
batch_pr_gain,ml_pretrain,calibrated_proba,,,,0.07498907926030189,1949.0,,,,,,,
batch_pr_gain,ml_racewise,raw_proba,,,,0.06701102096175555,122917.0,,,,,,,
batch_pr_gain,ml_racewise,calibrated_proba,,,,0.06701102096175555,4281.0,,,,,,,
batch_decision_curve,ml_pretrain,raw_proba,,,,,,0.06526783144751401,0.01,,,,,
batch_decision_curve,ml_pretrain,calibrated_proba,,,,,,0.06539951767345836,0.01,,,,,
batch_decision_curve,ml_racewise,raw_proba,,,,,,0.05697186600142037,0.01,,,,,
batch_decision_curve,ml_racewise,calibrated_proba,,,,,,0.057535043111146225,0.01,,,,,
moa_surrogate_decision_curve,moa_surrogate,y_score,,,,,,0.03449882820427214,0.01,,,,,
temporal_drift,Batch ML,comparator,,,,,,,,0.9693223443223443,0.10101068840939256,0.7570854319882571,0.19903602462984624,35.0
temporal_drift,MOA,comparator,,,,,,,,0.864793266361612,0.16559241664522656,0.2975219414533703,0.13520951872285428,95.0
temporal_drift,SDE,comparator,,,,,,,,0.7332782223813278,0.14226949618281481,0.16253218587301585,0.11059509133045584,96.0
