model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,155,149,6,0.9612903225806452,0.9181284248322602,0.9821403152164162
ML_minus_SDE,-865,-600,-265,0.22697659709044915,,
