feature,importance_drop_f1,importance_std
lapTime_vs_driver_prev_mean_pct,0.014834513361126822,0.013916135555118536
race_progress_pct,0.011409100872114563,0.005795833753194006
lapTime,0.010771918942960668,0.0014475975236475259
airTemp,0.009779319477967906,0.0025335251987448114
tire_life_ratio,0.009457268628001243,0.006856651191567734
humidity,0.008190478404123647,0.0018691372396257365
speedTrap,0.006443264741232152,0.002396357036514788
trackTemp,0.006431765061517364,0.0040597483367723905
pitLoss,0.005457691093134404,0.001896198816039276
pace_trend,0.0037257234456770537,0.00319151097157876
drop_zone_status_INELIGIBLE_TRACK_STATUS,0.0029975611197477605,0.0004250959268133864
gapBehind,0.0018727725067942346,0.008772297067298748
position,0.0008536073985493109,0.0010019517094665097
drop_zone_status_INSUFFICIENT_GAP_CONTEXT,0.00010993830584222209,0.00034277027302669706
drop_zone_status_nan,0.0,0.0
pace_drop_ratio,-0.00022348456804942572,0.004639741886021275
drop_zone_status_INELIGIBLE_TYRE_AGE,-0.00034070941694800403,0.00254441405090215
emergence_position,-0.0003683507508766115,0.0009152592509259741
drop_zone_status_NO_LOSS_FEASIBLE,-0.0010728364182198912,0.0010414522569026858
physical_car_tyre_life,-0.0019169690025088448,0.0020538199806875534
gap_to_physical_car,-0.0025300239269322677,0.0028733011191227815
has_drop_zone_data,-0.0027669572694305478,0.0013580305659107513
positions_lost,-0.0028523542072031284,0.0006383419547956765
drop_zone_status_LOSS_ESTIMATED,-0.003720678837811725,0.0014231355269788833
gapAhead_trend,-0.004539970817656669,0.0022845244833695653
gapAhead,-0.005726199374655206,0.0011549009576131042
tyreLife,-0.008131233317868924,0.0044541794321293895
