fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,682,20,0.02932551319648094,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0
2,856,18,0.02102803738317757,0.15999999999999998,0.16,0.16,0.014018691588785047,0.08333333333333333,0.05555555555555555,0.06666666666666667,0,0.0642857142857142
3,1057,22,0.020813623462630087,0.22000000000000006,0.22,0.22,0.048249763481551564,0.29411764705882354,0.6818181818181818,0.4109589041095891,0,0.0844444444444444
4,930,25,0.026881720430107527,0.04,0.04,0.04,0.001075268817204301,0.0,0.0,,0,0.02076940996416082
5,1212,44,0.036303630363036306,0.02,0.02,0.02,1.0,0.036303630363036306,1.0,0.07006369426751592,1212,0.021033390586351022
6,1066,18,0.016885553470919325,0.15999999999999998,0.16,0.16,0.0,,0.0,,0,0.027027027027027
7,812,29,0.03571428571428571,0.22999999999999998,0.23,0.23,0.0012315270935960591,0.0,0.0,,0,0.0714285714285714
8,1092,19,0.0173992673992674,0.09999999999999988,0.0999999999999999,0.0999999999999999,0.06868131868131869,0.08,0.3157894736842105,0.1276595744680851,0,0.0943396226415094
9,749,15,0.020026702269692925,0.14000000000000007,0.14,0.14,0.0053404539385847796,0.0,0.0,,0,0.0515463917525773
10,1267,46,0.036306235201262825,0.12999999999999998,0.13,0.13,0.0734017363851618,0.12903225806451613,0.2608695652173913,0.17266187050359713,0,0.1122448979591836
11,877,18,0.020524515393386546,0.12000000000000004,0.12,0.12,0.21550741163055873,0.07407407407407407,0.7777777777777778,0.13526570048309178,0,0.12
12,1288,34,0.026397515527950312,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0952380952380952
13,719,26,0.03616133518776078,0.5,0.5,0.5,0.0027816411682892906,0.0,0.0,,0,0.079136690647482
14,1268,49,0.038643533123028394,0.39999999999999997,0.4,0.4,0.011041009463722398,0.5,0.14285714285714285,0.22222222222222224,0,0.0746268656716417
15,835,30,0.03592814371257485,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0919540229885057
16,701,11,0.015691868758915834,0.5,0.5,0.5,0.0,,0.0,,0,0.0425531914893617
17,415,2,0.004819277108433735,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0365591397849462
18,841,34,0.04042806183115339,0.99,0.99,0.99,0.0,,0.0,,0,0.0632911392405063
19,1331,16,0.012021036814425245,0.5,0.5,0.5,0.002253944402704733,0.0,0.0,,0,0.1619718309859155
20,1030,22,0.021359223300970873,0.14000000000000007,0.14,0.14,0.006796116504854369,0.0,0.0,,0,0.0894568690095846
21,1086,28,0.02578268876611418,0.14,0.14,0.14,0.01289134438305709,0.21428571428571427,0.10714285714285714,0.14285714285714285,0,0.0552291421856639
22,1214,129,0.10626029654036244,0.9900000000000001,0.99,0.99,0.007413509060955519,1.0,0.06976744186046512,0.13043478260869565,0,0.03192098367264679
23,957,60,0.06269592476489028,0.12000000000000004,0.12,0.12,0.006269592476489028,0.8333333333333334,0.08333333333333333,0.15151515151515152,0,0.0506024096385542
