threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.03449882820427214,0.03441413486779656,0.0
0.02,0.025247331596280762,0.024561217876651626,0.0
0.03,0.01645275303833074,0.014505147957854223,0.0
0.04,0.008215867357960677,0.004239576582415201,0.0
0.05,0.0005585496469625029,-0.006242112085138328,0.0
0.060000000000000005,-0.00671701989768482,-0.016946815405192994,0.0
0.06999999999999999,-0.013552794792995065,-0.0278817273987972,0.0
0.08,-0.020166460029868404,-0.039054354870523264,0.0
0.09,-0.026190149772456962,-0.050472534594375174,0.0
0.09999999999999999,-0.032462914956434066,-0.06214445164542377,0.0
0.11,-0.038212623883140236,-0.07407865896728248,0.0
0.12,-0.04398898250162021,-0.08628409827372886,0.0
0.13,-0.0496360091179297,-0.09877012239181772,0.0
0.14,-0.05503568252724232,-0.1115465191638156,0.0
0.15000000000000002,-0.06033176394342573,-0.1246235370363311,0.0
0.16,-0.06583495355368332,-0.13801191247723976,0.0
0.17,-0.07114621805433011,-0.1517228993745559,0.0
0.18000000000000002,-0.0760189605298516,-0.16576830058644076,0.0
0.19,-0.08053995343366696,-0.18016050182824866,0.0
0.2,-0.08560839274141283,-0.19491250810110178,0.0
0.21000000000000002,-0.09033394997415853,-0.21003798288719167,0.0
0.22,-0.0951464014490586,-0.22555129036010435,0.0
0.23,-0.09974981272777772,-0.24146754088426153,0.0
0.24000000000000002,-0.10426544325817785,-0.25780264010642295,0.0
0.25,-0.10882480017282349,-0.2745733419745085,0.0
0.26,-0.1124936504878177,-0.2917973060552452,0.0
0.27,-0.11635235131703939,-0.3094931595628513,0.0
0.28,-0.11962401886656587,-0.3276805645567798,0.0
0.29000000000000004,-0.12267749399833873,-0.34638029081814287,0.0
0.3,-0.1258101101749838,-0.36561429497268777,0.0
0.31,-0.1286683902054158,-0.38540580649403106,0.0
0.32,-0.13054925469863904,-0.4057794212954139,0.0
0.33,-0.1327528752865614,-0.4267612037028082,0.0
0.34,-0.13583583731023788,-0.44837879769830524,0.0
0.35000000000000003,-0.13761590807119,-0.4706615484321253,0.0
0.36000000000000004,-0.13969843648736233,-0.4936406351263773,0.0
0.37,-0.1408543704800996,-0.5173492166363197,0.0
0.38,-0.14201231367465975,-0.5418225910981959,0.0
0.39,-0.14268165060612178,-0.5670983712801335,0.0
0.4,-0.14348401382588033,-0.5932166774681358,0.0
0.41000000000000003,-0.1439517723562947,-0.6202203499675957,0.0
0.42000000000000004,-0.14449991060853246,-0.6481551835877267,0.0
0.43,-0.14431473206671896,-0.6770701868085638,0.0
0.44,-0.1444108184427368,-0.7070178687158597,0.0
0.45,-0.1445199728981323,-0.7380545572379662,0.0
0.46,-0.1444381435875279,-0.770240752742373,0.0
0.47000000000000003,-0.1421728071998924,-0.8036415216620405,0.0
0.48000000000000004,-0.139684804825764,-0.8383269355401567,0.0
0.49,-0.13858125881590486,-0.8743725617272184,0.0
0.5,-0.13593648736228128,-0.9118600129617629,0.0
