protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.4229445250539579,0.42288989460633336,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.41360826505367426,0.41465063691048737,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.280533728299591,0.2803702699925735,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.2511919913959091,0.25313889993866023,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.4317942669659072,0.43163524981480655,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.4138558254091775,0.41582861002782207,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.48934619849627664,0.48922228968312703,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.47833987565608244,0.47966732084325064,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.4017980760948582,0.4017444567035087,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.39178227263952603,0.3927701822824172,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.07882339333111088,0.07832216279897984,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.08367123090326221,0.08038012163315321,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.280533728299591,0.2803702699925735,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.2511919913959091,0.25313889993866023,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.4317942669659072,0.43163524981480655,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.4138558254091775,0.41582861002782207,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.48934619849627664,0.48922228968312703,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.47833987565608244,0.47966732084325064,0.08808848980410845,39869,3512
