model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,174,165,9,0.9482758620689655,0.9046335664523455,0.9725522204528585
ML_minus_SDE,-846,-584,-262,0.2139621365787695,,
