policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,123129,577,256,321,114557,7995,0.004686142176091741,0.4436741767764298,0.03102654223730457,0.057997281377435435
fixed_threshold_0.10,0.1,123129,13674,4386,9288,105590,3865,0.11105426016616719,0.32075471698113206,0.5315719306750697,0.4000912200684151
fixed_threshold_0.50,0.5,123129,1224,871,353,114525,7380,0.009940793801622688,0.7116013071895425,0.10556296206520421,0.1838522427440633
