protocol,score_type,bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
ml_pretrain,raw_proba,0.0,10302.0,0.003885185236238827,0.014269073966220151,0.0,0.007824321463704062
ml_pretrain,raw_proba,1.0,10301.0,0.013704298166728973,0.01708571983302592,0.007824321463704062,0.0206729028373956
ml_pretrain,raw_proba,2.0,10302.0,0.03140525700995621,0.020190254319549603,0.0206729028373956,0.04431950673460957
ml_pretrain,raw_proba,3.0,10301.0,0.06239067664614588,0.02883215221823124,0.04431950673460957,0.08359381407499315
ml_pretrain,raw_proba,4.0,10301.0,0.11236172499193538,0.03281234831569751,0.08359381407499315,0.1454484462738037
ml_pretrain,raw_proba,5.0,10302.0,0.18833527236112318,0.036983110075713456,0.1454484462738037,0.23698733448982234
ml_pretrain,raw_proba,6.0,10301.0,0.29750181147397436,0.04426754684011261,0.23698733448982234,0.36374659538269044
ml_pretrain,raw_proba,7.0,10302.0,0.43822791629151403,0.05736750145602795,0.36374659538269044,0.5193262815475465
ml_pretrain,raw_proba,8.0,10301.0,0.6114465568137625,0.11464906319774779,0.5193262815475465,0.7116661310195923
ml_pretrain,raw_proba,9.0,10302.0,0.8242862398035201,0.38342069501067755,0.7116661310195923,1.0
ml_pretrain,calibrated_proba,0.0,10142.0,0.004022140646253175,0.01094458686649576,0.0,0.0077760497667185
ml_pretrain,calibrated_proba,1.0,10282.0,0.009501866868139405,0.018187123127796148,0.0077760497667185,0.0112156295224312
ml_pretrain,calibrated_proba,2.0,10398.0,0.013503960236214427,0.02163877668782458,0.0112156295224312,0.0157563025210084
ml_pretrain,calibrated_proba,3.0,10133.0,0.017459724354404987,0.0267443007993684,0.0157563025210084,0.0192068879874161
ml_pretrain,calibrated_proba,4.0,10463.0,0.02197897799288528,0.025136194208162096,0.0192068879874161,0.0249590834697217
ml_pretrain,calibrated_proba,5.0,10210.0,0.02780350499788137,0.03574926542605289,0.0249590834697217,0.0311813790074659
ml_pretrain,calibrated_proba,6.0,10474.0,0.03501658221515909,0.04229520717968303,0.0311813790074659,0.04
ml_pretrain,calibrated_proba,7.0,10286.0,0.04892107210135916,0.06241493291853004,0.04,0.0605612998522895
ml_pretrain,calibrated_proba,8.0,10276.0,0.08372494526205163,0.1268976255352277,0.0605612998522895,0.1217948717948717
ml_pretrain,calibrated_proba,9.0,10351.0,0.2977181040600946,0.37812771712877985,0.1217948717948717,1.0
ml_racewise,raw_proba,0.0,12313.0,0.0007245794316106268,0.011126451717696743,0.0,0.0020953618455678003
ml_racewise,raw_proba,1.0,12313.0,0.004967379246044981,0.014699910663526354,0.0020953618455678003,0.008653395809233161
ml_racewise,raw_proba,2.0,12313.0,0.01469923041562444,0.019085519369771785,0.008653395809233161,0.02221427522599696
ml_racewise,raw_proba,3.0,12313.0,0.03420561276954717,0.023795987980183547,0.02221427522599696,0.04908066838979721
ml_racewise,raw_proba,4.0,12312.0,0.07061463183601752,0.030864197530864196,0.04908066838979721,0.0963581725955009
ml_racewise,raw_proba,5.0,12313.0,0.13322488316692924,0.03492243969788029,0.0963581725955009,0.1760945081710817
ml_racewise,raw_proba,6.0,12313.0,0.23321899678747204,0.043531227158287986,0.1760945081710817,0.29853045344352724
ml_racewise,raw_proba,7.0,12313.0,0.3775088516696543,0.05043450012182246,0.29853045344352724,0.463501900434494
ml_racewise,raw_proba,8.0,12313.0,0.5641344692505104,0.0937220823519857,0.463501900434494,0.6726511240005493
ml_racewise,raw_proba,9.0,12313.0,0.8041463284162157,0.3479249573621376,0.6726511240005493,1.0
ml_racewise,calibrated_proba,0.0,12188.0,0.0021399200688781805,0.008615031178208074,0.0,0.0052160953800298
ml_racewise,calibrated_proba,1.0,12420.0,0.0080969874915787,0.014573268921095008,0.0052160953800298,0.010183299389002
ml_racewise,calibrated_proba,2.0,12302.0,0.012283853114171,0.018289708990408063,0.010183299389002,0.0144628099173553
ml_racewise,calibrated_proba,3.0,12101.0,0.016606992671113888,0.026857284521940337,0.0144628099173553,0.0189606741573033
ml_racewise,calibrated_proba,4.0,12535.0,0.020667839979602982,0.02632628639808536,0.0189606741573033,0.0238500851788756
ml_racewise,calibrated_proba,5.0,12255.0,0.026613221703973795,0.030518155854753162,0.0238500851788756,0.0298850574712643
ml_racewise,calibrated_proba,6.0,12384.0,0.03405452292546577,0.03867894056847545,0.0298850574712643,0.0393343419062027
ml_racewise,calibrated_proba,7.0,12304.0,0.04671524322386101,0.05648569570871261,0.0393343419062027,0.0581039755351682
ml_racewise,calibrated_proba,8.0,12305.0,0.07852634317649912,0.1086550182852499,0.0581039755351682,0.1104651162790697
ml_racewise,calibrated_proba,9.0,12335.0,0.27114805536009373,0.34049452776651806,0.1104651162790697,1.0
