model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,268,174,165,9,0.9482758620689655,0.05172413793103448,86
MOA,6160,1587,1403,184,0.8840579710144928,0.11594202898550725,4363
