threshold,net_benefit_model,net_benefit_all,net_benefit_none,protocol,score_type
0.01,0.06513379193086032,0.06564553460636555,0.0,ml_pretrain,raw_proba
0.02,0.05705727420318221,0.05611130536765499,0.0,ml_pretrain,raw_proba
0.03,0.049898948756837036,0.04638049408278545,0.0,ml_pretrain,raw_proba
0.04,0.043328641459981554,0.036446957562814464,0.0,ml_pretrain,raw_proba
0.05,0.036963446815359034,0.02630429395821251,0.0,ml_pretrain,raw_proba
0.060000000000000005,0.031117757071114402,0.015945829000321148,0.0,ml_pretrain,raw_proba
0.06999999999999999,0.02555249548687711,0.005364601355163326,0.0,ml_pretrain,raw_proba
0.08,0.020206428358892442,-0.005446652977932731,0.0,ml_pretrain,raw_proba
0.09,0.015100222788423538,-0.016495517296371554,0.0,ml_pretrain,raw_proba
0.09999999999999999,0.010013644183425284,-0.0277899119329979,0.0,ml_pretrain,raw_proba
0.11,0.00523421100995982,-0.03933811319067203,0.0,ml_pretrain,raw_proba
0.12,0.0005903818067095334,-0.05114877356783874,0.0,ml_pretrain,raw_proba
0.13,-0.0038293720198096376,-0.06323094337896336,0.0,ml_pretrain,raw_proba
0.14,-0.008261158625578358,-0.07559409388336992,0.0,ml_pretrain,raw_proba
0.15000000000000002,-0.012488758062075514,-0.08824814204670371,0.0,ml_pretrain,raw_proba
0.16,-0.016658230539704125,-0.1012034770710692,0.0,ml_pretrain,raw_proba
0.17,-0.020706775069018496,-0.11447098884300981,0.0,ml_pretrain,raw_proba
0.18000000000000002,-0.024585100677973752,-0.1280620984630465,0.0,ml_pretrain,raw_proba
0.19,-0.028427599240911212,-0.14198879103666434,0.0,ml_pretrain,raw_proba
0.2,-0.03228898704072223,-0.15626365092462263,0.0,ml_pretrain,raw_proba
0.21000000000000002,-0.03609146265414218,-0.17089989967050395,0.0,ml_pretrain,raw_proba
0.22,-0.03990730749940574,-0.18591143684576678,0.0,ml_pretrain,raw_proba
0.23,-0.043335890435827334,-0.20131288407753,0.0,ml_pretrain,raw_proba
0.24000000000000002,-0.046605374281210976,-0.21711963255223438,0.0,ml_pretrain,raw_proba
0.25,-0.04997330485851576,-0.23334789431959746,0.0,ml_pretrain,raw_proba
0.26,-0.053575246848071204,-0.2500147577563488,0.0,ml_pretrain,raw_proba
0.27,-0.056846489306318616,-0.2671382475886276,0.0,ml_pretrain,raw_proba
0.28,-0.059853742982413576,-0.2847373899162474,0.0,ml_pretrain,raw_proba
0.29000000000000004,-0.0632873784960894,-0.3028322827319692,0.0,ml_pretrain,raw_proba
0.3,-0.06635649454656396,-0.32144417248528306,0.0,ml_pretrain,raw_proba
0.31,-0.06927695206903173,-0.34059553730391035,0.0,ml_pretrain,raw_proba
0.32,-0.07212770270463184,-0.36031017755837963,0.0,ml_pretrain,raw_proba
0.33,-0.07497459071675554,-0.3806133145368629,0.0,ml_pretrain,raw_proba
