year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,309,41,268,26,15,0.6341463414634146,-0.011014948859165985,-114,-1089,0.2645161290322581,0.22103004291845493
2023,1572,226,1346,163,63,0.7212389380530974,76,36,40,32,4,0.8888888888888888,0.16764995083579148,-190,-1496,0.1592920353982301,0.04834605597964377
2024,1647,299,1348,227,72,0.7591973244147158,74,54,20,51,3,0.9444444444444444,0.18524712002972865,-245,-1573,0.1806020066889632,0.044930176077717064
2025,1706,340,1366,259,81,0.7617647058823529,118,84,34,82,2,0.9761904761904762,0.21442577030812326,-256,-1588,0.24705882352941178,0.06916764361078546
