policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,103015,268,214,54,95236,7511,0.002601562879192351,0.7985074626865671,0.027702265372168286,0.05354685349680971
fixed_threshold_0.10,0.1,103015,12330,4251,8079,87211,3474,0.11969130709120031,0.34476885644768857,0.5502912621359223,0.4239341810022438
fixed_threshold_0.50,0.5,103015,1209,866,343,94947,6859,0.011736154928893851,0.7162944582299421,0.11210355987055017,0.19386612939332887
