model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,215,191,24,0.8883720930232558,0.8392792634269323,0.9238302538461637
ML_minus_SDE,-805,-558,-247,0.1540583675330598,,
