rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.8325634168084934,0.23876197494473103,0.1544327931363203,0.525974025974026,0.6873237868503586,1
2,rf_100_d10,RandomForestClassifier,1,0.7802901369640975,0.21556712962962962,0.1311619718309859,0.6047077922077922,0.6971120638084086,0
3,extra_300_d12,ExtraTreesClassifier,1,0.7166707188589027,0.1901783646050498,0.1109159686571197,0.6663961038961039,0.6928542832881526,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.5811248885647136,0.12242125817132185,0.06836067128093297,0.5852272727272727,0.5830682981396322,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.949874382040684,0.07340823970037454,0.47572815533980584,0.03977272727272727,0.5187347812768993,0
