model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,455,302,287,15,0.9503311258278145,0.04966887417218543,141
MOA,6672,1603,1419,184,0.885215221459763,0.11478477854023705,4867
