threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.044456059031547916,0.04445483213854403,0.0
0.02,0.03474981636040788,0.03470437124199856,0.0
0.03,0.024954055070471153,0.024752869914596482,0.0
0.04,0.015258714927729865,0.014594045642873525,0.0
0.05,0.005853635668181749,0.004221351386482719,0.0
0.060000000000000005,-0.003387164438563718,-0.006372038492384491,0.0
0.06999999999999999,-0.01237175158804478,-0.017193243207356344,0.0
0.08,-0.021247119668636467,-0.028249691503088488,0.0
0.09,-0.029757844892060847,-0.03954913866246309,0.0
0.09999999999999999,-0.03810770566509665,-0.05109968464760157,0.0
0.11,-0.04636452096727747,-0.06290979346386674,0.0
0.12,-0.054249527952916744,-0.07498831384413795,0.0
0.13,-0.06186066446917439,-0.08734450135958785,0.0
0.14,-0.0690480831066506,-0.09998804207307144,0.0
0.15000000000000002,-0.0763974726292801,-0.11292907786216641,0.0
0.16,-0.0836124076741106,-0.12617823355100172,0.0
0.17,-0.0900909602213055,-0.13974664600342343,0.0
0.18000000000000002,-0.09606096425351476,-0.1536459953449286,0.0
0.19,-0.1021543832183939,-0.16788853849733507,0.0
0.2,-0.10759544920846999,-0.18248714522855178,0.0
0.21000000000000002,-0.11263408911650707,-0.19745533694030562,0.0
0.22,-0.11791612034536848,-0.21280732843954028,0.0
0.23,-0.12212861028602556,-0.2285580729647291,0.0
0.24000000000000002,-0.12656169757565297,-0.24472331076689666,0.0
0.25,-0.13043712970835525,-0.26131962157712185,0.0
0.26,-0.13473792023530878,-0.2783644813281641,0.0
0.27,-0.13839837118357073,-0.2958763235381389,0.0
0.28,-0.14176012524123788,-0.313874605809502,0.0
0.29000000000000004,-0.14451973593046194,-0.332379881947664,0.0
0.3,-0.14672658812097655,-0.351413880261202,0.0
0.31,-0.1487245567062212,-0.3709995886707847,0.0
0.32,-0.15100873338525256,-0.391161347327708,0.0
0.33,-0.1528226715324145,-0.41192494952662906,0.0
0.34,-0.1539996098480248,-0.43331775179218407,0.0
0.35000000000000003,-0.155147981699664,-0.4553687941274484,0.0
0.36000000000000004,-0.15524666990566424,-0.47810893153568984,0.0
0.37,-0.15643843944584862,-0.5015709780680023,0.0
0.38,-0.15557244710181556,-0.5257898648110346,0.0
0.39,-0.15438602080524932,-0.5508028134144942,0.0
0.4,-0.15265125443675184,-0.5766495269714025,0.0
0.41000000000000003,-0.1514217620832793,-0.6033724003099008,0.0
0.42000000000000004,-0.14938061152831822,-0.6310167520393819,0.0
0.43,-0.14631816189731384,-0.6596310810225288,0.0
0.44,-0.1442452846558276,-0.6892673503265025,0.0
0.45,-0.14067923250481248,-0.7199813021506207,0.0
0.46,-0.13780884816149402,-0.7518328077460027,0.0
0.47000000000000003,-0.1323986075366278,-0.7848862569487575,0.0
0.48000000000000004,-0.12763518921662978,-0.8192109926593105,0.0
0.49,-0.12321448276464315,-0.854881796436944,0.0
0.5,-0.11976193368152557,-0.8919794323656829,0.0
