model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
MOA,2023 :: Miami Grand Prix,2023,65,5,4,1,0.8,0.07692307692307693,39
MOA,2023 :: Monaco Grand Prix,2023,40,2,2,0,1.0,0.05,40
MOA,2023 :: Qatar Grand Prix,2023,41,7,3,4,0.42857142857142855,0.17073170731707318,41
MOA,2023 :: Saudi Arabian Grand Prix,2023,66,12,12,0,1.0,0.18181818181818182,42
MOA,2023 :: Singapore Grand Prix,2023,58,4,4,0,1.0,0.06896551724137931,43
MOA,2023 :: Spanish Grand Prix,2023,58,8,6,2,0.75,0.13793103448275862,44
MOA,2023 :: São Paulo Grand Prix,2023,89,10,8,2,0.8,0.11235955056179775,45
MOA,2023 :: United States Grand Prix,2023,116,31,26,5,0.8387096774193549,0.2672413793103448,46
MOA,2024 :: Abu Dhabi Grand Prix,2024,115,17,14,3,0.8235294117647058,0.14782608695652175,47
MOA,2024 :: Australian Grand Prix,2024,65,13,10,3,0.7692307692307693,0.2,48
MOA,2024 :: Austrian Grand Prix,2024,163,40,34,6,0.85,0.24539877300613497,49
MOA,2024 :: Azerbaijan Grand Prix,2024,56,20,17,3,0.85,0.35714285714285715,50
MOA,2024 :: Bahrain Grand Prix,2024,129,46,39,7,0.8478260869565217,0.35658914728682173,51
MOA,2024 :: Belgian Grand Prix,2024,167,39,35,4,0.8974358974358975,0.23353293413173654,52
MOA,2024 :: British Grand Prix,2024,71,16,15,1,0.9375,0.22535211267605634,53
MOA,2024 :: Canadian Grand Prix,2024,136,25,24,1,0.96,0.18382352941176472,54
MOA,2024 :: Chinese Grand Prix,2024,34,0,0,0,,0.0,55
MOA,2024 :: Dutch Grand Prix,2024,108,24,20,4,0.8333333333333334,0.2222222222222222,56
MOA,2024 :: Emilia Romagna Grand Prix,2024,32,11,10,1,0.9090909090909091,0.34375,57
MOA,2024 :: French Grand Prix,2024,93,9,7,2,0.7777777777777778,0.0967741935483871,58
MOA,2024 :: Hungarian Grand Prix,2024,138,28,24,4,0.8571428571428571,0.2028985507246377,59
MOA,2024 :: Italian Grand Prix,2024,109,23,19,4,0.8260869565217391,0.21100917431192662,60
MOA,2024 :: Japanese Grand Prix,2024,110,16,16,0,1.0,0.14545454545454545,61
MOA,2024 :: Las Vegas Grand Prix,2024,82,16,12,4,0.75,0.1951219512195122,62
MOA,2024 :: Mexico City Grand Prix,2024,19,8,6,2,0.75,0.42105263157894735,63
MOA,2024 :: Miami Grand Prix,2024,68,21,20,1,0.9523809523809523,0.3088235294117647,64
MOA,2024 :: Monaco Grand Prix,2024,51,7,7,0,1.0,0.13725490196078433,65
MOA,2024 :: Qatar Grand Prix,2024,61,14,10,4,0.7142857142857143,0.22950819672131148,66
MOA,2024 :: Saudi Arabian Grand Prix,2024,73,18,15,3,0.8333333333333334,0.2465753424657534,67
MOA,2024 :: Singapore Grand Prix,2024,112,20,18,2,0.9,0.17857142857142858,68
MOA,2024 :: Spanish Grand Prix,2024,88,22,20,2,0.9090909090909091,0.25,69
MOA,2024 :: São Paulo Grand Prix,2024,82,20,17,3,0.85,0.24390243902439024,70
MOA,2024 :: United States Grand Prix,2024,111,27,25,2,0.9259259259259259,0.24324324324324326,71
MOA,2025 :: Abu Dhabi Grand Prix,2025,45,24,22,2,0.9166666666666666,0.5333333333333333,72
MOA,2025 :: Australian Grand Prix,2025,106,23,17,6,0.7391304347826086,0.2169811320754717,73
MOA,2025 :: Austrian Grand Prix,2025,190,62,58,4,0.9354838709677419,0.3263157894736842,74
MOA,2025 :: Azerbaijan Grand Prix,2025,81,21,19,2,0.9047619047619048,0.25925925925925924,75
MOA,2025 :: Bahrain Grand Prix,2025,177,71,63,8,0.8873239436619719,0.4011299435028249,76
MOA,2025 :: Belgian Grand Prix,2025,104,38,36,2,0.9473684210526315,0.36538461538461536,77
MOA,2025 :: British Grand Prix,2025,56,18,17,1,0.9444444444444444,0.32142857142857145,78
MOA,2025 :: Canadian Grand Prix,2025,72,28,28,0,1.0,0.3888888888888889,79
MOA,2025 :: Chinese Grand Prix,2025,87,21,16,5,0.7619047619047619,0.2413793103448276,80
MOA,2025 :: Dutch Grand Prix,2025,133,42,39,3,0.9285714285714286,0.3157894736842105,81
MOA,2025 :: Emilia Romagna Grand Prix,2025,47,11,11,0,1.0,0.23404255319148937,82
MOA,2025 :: French Grand Prix,2025,9,3,3,0,1.0,0.3333333333333333,83
MOA,2025 :: Hungarian Grand Prix,2025,150,56,54,2,0.9642857142857143,0.37333333333333335,84
MOA,2025 :: Italian Grand Prix,2025,74,21,21,0,1.0,0.28378378378378377,85
MOA,2025 :: Japanese Grand Prix,2025,78,25,21,4,0.84,0.32051282051282054,86
MOA,2025 :: Las Vegas Grand Prix,2025,57,17,16,1,0.9411764705882353,0.2982456140350877,87
MOA,2025 :: Mexico City Grand Prix,2025,84,41,39,2,0.9512195121951219,0.4880952380952381,88
MOA,2025 :: Miami Grand Prix,2025,46,16,16,0,1.0,0.34782608695652173,89
MOA,2025 :: Monaco Grand Prix,2025,114,31,26,5,0.8387096774193549,0.2719298245614035,90
MOA,2025 :: Qatar Grand Prix,2025,68,24,22,2,0.9166666666666666,0.35294117647058826,91
MOA,2025 :: Saudi Arabian Grand Prix,2025,52,14,14,0,1.0,0.2692307692307692,92
MOA,2025 :: Singapore Grand Prix,2025,72,18,17,1,0.9444444444444444,0.25,93
MOA,2025 :: Spanish Grand Prix,2025,124,51,49,2,0.9607843137254902,0.4112903225806452,94
MOA,2025 :: São Paulo Grand Prix,2025,66,23,23,0,1.0,0.3484848484848485,95
MOA,2025 :: United States Grand Prix,2025,150,50,48,2,0.96,0.3333333333333333,96
