precision,recall,threshold
0.05401028381715859,1.0,0.0087581898137002
0.054014657650726806,1.0,0.00994260171279282
0.05401684483317137,1.0,0.011667166192443856
0.054019032192751566,1.0,0.012288754819809131
0.05402340744340502,1.0,0.012355417089155203
0.0540255953345213,1.0,0.01287812235702758
0.05402778340285934,1.0,0.013018158739658942
0.054029971648440665,1.0,0.013086341370577776
0.05403434867141931,1.0,0.01389733548641693
0.05403653744885972,1.0,0.014114100614091374
0.05403872640362959,1.0,0.01448988588212065
0.05404091553575045,1.0,0.01582976956520007
0.05404529433213143,1.0,0.01592083417012098
0.05404748399643465,1.0,0.01624154304011141
0.05404967383817511,1.0,0.01634206593843875
0.05405186385737439,1.0,0.016405796292580963
0.05405405405405406,1.0,0.016496035099447432
0.05405624442823567,1.0,0.016897929154084536
0.05405843497994083,1.0,0.01706435043718158
0.054062816616008105,1.0,0.0174293731595099
0.05406500770041339,1.0,0.017650459744525362
0.054067198962428564,1.0,0.017923197643751932
0.05406939040207523,1.0,0.01804146028518555
0.054071582019374974,1.0,0.01816249697687828
0.05407377381434941,1.0,0.018364471677112488
0.05407815793740879,1.0,0.018449431068929843
0.05408035026553695,1.0,0.018477264587331524
0.054082542771426254,1.0,0.018482107390817244
0.054086928316574766,1.0,0.018482189760136564
0.05409131457302733,1.0,0.0185145330227823
0.05409350796804671,1.0,0.0186109277201124
0.05409570154095702,1.0,0.018663027871205645
0.05409789529177988,1.0,0.018680671842271516
0.05410008922053695,1.0,0.01868408909869811
0.054104477611940295,1.0,0.018780234665716482
0.054106672074629894,1.0,0.018867075173122878
0.054111061534093216,1.0,0.018883263371311722
0.05411545170581315,1.0,0.018992408020642594
0.05411764705882353,1.0,0.019229958471065837
0.05411984258996308,1.0,0.01927542392329585
0.054124234186716434,1.0,0.019388976169766158
0.05412643025237361,1.0,0.019741648305618077
0.054130822918357406,1.0,0.02008477886850773
0.05413301951872743,1.0,0.020104230574986677
0.05413521629737846,1.0,0.020188227513880993
0.05413741325433221,1.0,0.020518616033010105
0.05414180770323471,1.0,0.020546721430239147
0.054144005195226885,1.0,0.02061065189889875
0.05414620286560864,1.0,0.02062290204367797
0.05414840071440169,1.0,0.020626334904564687
0.05415059874162777,1.0,0.02065601483040525
0.05415499533146592,1.0,0.02081567546206196
0.05415939263529698,1.0,0.02099452758828614
0.05416159155501421,1.0,0.021099669869332864
0.054163790653294894,1.0,0.02129930425413893
0.05416598993016079,1.0,0.021380521732011583
0.054168189385633655,1.0,0.02152657008582445
0.05417038901973524,1.0,0.02158482511082696
0.05417258883248731,1.0,0.02173480968036856
0.05417478882391163,1.0,0.021816863241668635
0.05417918934286411,1.0,0.021902851193915263
0.05418138987043581,1.0,0.02203175831634617
0.05418359057676685,1.0,0.022142403678002184
0.05418579146187904,1.0,0.02215486188510588
0.054187992525794135,1.0,0.022586804348548258
0.05419019376853394,1.0,0.02258804804304271
0.05419239519012025,1.0,0.022590958018235803
0.05419459679057485,1.0,0.022807319674080544
0.05419679856991956,1.0,0.022830401306745945
0.05419900052817617,1.0,0.02289292835519796
0.05420120266536649,1.0,0.02296191304103
0.05420340498151233,1.0,0.022971847457564722
0.05420560747663551,1.0,0.023127698945093447
0.05416937581274382,0.9992503748125937,0.02321165255847614
0.05417157719348153,0.9992503748125937,0.023286725121708138
0.05417377875314964,0.9992503748125937,0.023344527750586447
0.054175980491769964,0.9992503748125937,0.02334861904951154
0.05417818240936433,0.9992503748125937,0.02342936556329025
0.05418038450595456,0.9992503748125937,0.023455321204343106
0.05418258678156247,0.9992503748125937,0.023566752707208743
0.05418478923620991,0.9992503748125937,0.023601639390404824
0.054186991869918696,0.9992503748125937,0.02360279644483147
0.05418919468271068,0.9992503748125937,0.02389067448783219
0.05419139767460769,0.9992503748125937,0.023892530134407154
0.05419360084563158,0.9992503748125937,0.02410597077351757
0.05419580419580419,0.9992503748125937,0.024122276544247603
0.054198007725147386,0.9992503748125937,0.0241568535002797
0.05420021143368301,0.9992503748125937,0.024201299295420423
0.054202415321432926,0.9992503748125937,0.02422006134148805
0.054204619388419,0.9992503748125937,0.02426324197110785
0.05420682363466309,0.9992503748125937,0.024425622105289535
0.05420902806018707,0.9992503748125937,0.02444016069506123
