policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,103015,455,386,69,95221,7339,0.004416832500121342,0.8483516483516483,0.04996763754045307,0.0943765281173594
fixed_threshold_0.10,0.1,103015,10262,3742,6520,88770,3983,0.09961656069504442,0.3646462677840577,0.4844012944983819,0.4160782787568799
fixed_threshold_0.50,0.5,103015,1474,1100,374,94916,6625,0.014308595835557929,0.746268656716418,0.1423948220064725,0.23915643004674422
