bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2470,0.0591873387164032,0.002834008097165992,0.0,0.08915887518304665
1,2469,0.11473651401072026,0.010935601458080195,0.08915887518304665,0.1402052930143686
2,2471,0.1664600683023609,0.016187778227438283,0.1402052930143686,0.19206471266385003
3,2470,0.21748413981372738,0.019838056680161944,0.19206471266385003,0.24309377294296922
4,2469,0.2695405311966374,0.03564196030781693,0.24309377294296922,0.2962245442144019
5,2470,0.3249635176602796,0.04291497975708502,0.2962245442144019,0.35391403667971916
6,2470,0.38460611926807076,0.042105263157894736,0.35391403667971916,0.4153781229870052
7,2469,0.44786071323869103,0.06966383151073309,0.4153781229870052,0.4806753487538215
8,2471,0.5233143289204386,0.09874544718737353,0.4806753487538215,0.5700119821167607
9,2470,0.6582544778545757,0.20121457489878541,0.5700119821167607,1.0
