rank,feature,mean_abs_shap,mean_signed_shap
1,gapBehind,0.03894365137285121,-0.0151124047321311
2,position,0.03286725517234211,-0.010162494619377285
3,speedTrap,0.03207501802826061,-0.01405333889751676
4,lapTime,0.026929831314544794,-0.015398809266253638
5,tire_life_ratio,0.025819731687154512,-0.014207944694492911
6,tyreLife,0.02522175197592257,-0.012168801100099727
7,humidity,0.02473416797648199,-0.013258509908989352
8,gapAhead,0.022589559961792783,-0.013697600504341175
9,gap_to_physical_car,0.021470854260693013,-0.011957049813293897
10,trackTemp,0.02044937196536621,-0.013464807554956713
11,pace_drop_ratio,0.013275618769753396,-0.009338042360024409
12,gapAhead_trend,0.012579823028502931,-0.011780486973480771
13,airTemp,0.012154984254245839,-0.010132928570977523
14,pace_trend,0.011493561220401783,-0.01036048121377764
15,positions_lost,0.007442562672541551,-0.0027445237586732002
16,pitLoss,0.007436057881269292,-0.00505456581022233
17,has_drop_zone_data,0.0028835271733082236,0.00010985227677732848
