statistic,heuristic_proxy_ms,ml_total_ms,ml_added_overhead_ms,ml_overhead_share
p50,0.04119999857721268,2.3928299997351132,2.34704549984599,0.9808659621058782
p95,0.04652504931073054,4.296641000064483,4.239976550024944,0.986811918882986
p99,0.05865688088306335,8.842263180167656,8.787229490044352,0.9937760628696577
mean,0.04228780034297369,2.732380081697094,2.6855044850828746,0.9828444084597833
