model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,400,351,49,0.8775,0.8417313729822828,0.9060868447953232
ML_minus_SDE,-620,-398,-222,0.14318627450980392,,
