model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,302,287,15,0.9503311258278145,0.9196775720456581,0.9696720964028748
ML_minus_SDE,-718,-462,-256,0.21601740033761851,,
